OBJECTID,INTR_ID,GIS_XCOORD,GIS_YCOORD,COMPKEY,COMPTYPE,UNITID,SUBAREA,UNITDESC,ARTERIALCLASSCD,SE_ANNO_CAD_DATA,SIGNAL_MAINT_DIST,SIGNAL_TYPE,SHAPE_LNG,SHAPE_LAT,x,y
11994647,18213,1270709.14872,194387.95532,340313,13,78852,GRDWM,4TH AVE S AND S HENDERSON N ST,0,System.Byte[], ,NONE,-122.329731968878,47.5230508381745,1270709.14872199,194387.955322996
11994648,10302,1282581.59341,234414.69508,157936,13,32854,E,WOODROW PL E AND E GARFIELD ST,0,System.Byte[], ,NONE,-122.284744717057,47.6333869919404,1282581.59340614,234414.695075974
11994649,4716,1261647.53719,256226.49721,37264,13,231740,BLRD,12TH AVE NW AND NW 87TH ST,0,System.Byte[], ,NONE,-122.371401133721,47.6920578247574,1261647.53719272,256226.497210309
11994650,6406,1274017.16434,249395.1884,25752,13,14252,NE,NE 63RD ST AND NE RAVENNA EB BV,1,System.Byte[], ,NONE,-122.320648458474,47.6740000519789,1274017.16434138,249395.188403323
11994651,16530,1287242.23699,202871.12333,33729,13,67744,SE,WILSON AVE S AND S UPLAND RD,2,System.Byte[], ,NONE,-122.263467730487,47.5471649434807,1287242.23699492,202871.123331681
11994652,5330,1264241.25649,253504.86726,24066,13,3124,NW,3RD AVE NW AND NW 77TH ST,3,System.Byte[], ,NONE,-122.360652284094,47.6847396120201,1264241.25649136,253504.867255524
11994653,4483,1277934.40415,257254.45472,37743,13,234718,NE,RAVENNA AVE NE AND NE 92ND ST,1,System.Byte[], ,NONE,-122.30536138036,47.6957485843215,1277934.40415339,257254.454715371
11994654,12577,1281932.6992,222116.09718,35518,13,146652,CNTRL,LAKESIDE UPPER AVE S AND S LESCHI PL,0,System.Byte[], ,NONE,-122.286434259576,47.5996429531023,1281932.69919749,222116.09717539
11994655,17255,1282909.08422,199261.56045,34465,13,73318,SE,42ND AVE S AND S OTHELLO ST,2,System.Byte[], ,NONE,-122.280735287273,47.5370490052216,1282909.08422248,199261.560447976
11994656,11382,1279677.896,229184.13661,29288,13,37357,CNTRL,M L KING JR WAY AND E DENNY WAY,3,System.Byte[], ,NONE,-122.296116334582,47.6188993314954,1279677.89599517,229184.136606619
11994657,7287,1269555.0147,246211.3036,25529,13,13331,LKUN,WOODLAWN AVE N AND N 50TH E ST,1,System.Byte[], ,NONE,-122.338504194935,47.6650353046187,1269555.01470481,246211.303600058
11994658,13142,1256550.32605,218397.21692,31112,13,48512,SW,45TH AVE SW AND SW MASSACHUSETTS ST,0,System.Byte[], ,NONE,-122.388988942195,47.5880894250074,1256550.32605149,218397.216915578
11994659,18655,1281751.56717,191962.907,35386,13,80737,GRDWM,38TH AVE S AND S ROXBURY ST,0,System.Byte[], ,NONE,-122.284863208283,47.5169835904682,1281751.5671653,191962.907000512
11994660,18291,1258084.54148,193925.28575,34745,13,75336,SW,38TH AVE SW AND SW BARTON W ST,2,System.Byte[], ,NONE,-122.380779125037,47.5210982609993,1258084.54147707,193925.285754517
11994661,8569,1267941.85784,242000.12459,26867,13,22312,LKUN,BRIDGE WAY N AND WOODLAND PK S AVE N,2,System.Byte[], ,NONE,-122.344714016137,47.6534059644849,1267941.85783915,242000.124587744
11994662,13386,1278731.59379,217010.19279,31436,13,52144,SE,26TH AVE S AND S PLUM ST,0,System.Byte[], ,NONE,-122.299012562699,47.5854812686565,1278731.59378621,217010.192786157
11994663,12449,1277678.22623,222936.1837,30732,13,45516,CNTRL,22ND AVE AND E YESLER WAY,2,System.Byte[], ,NONE,-122.303738936721,47.6016692758087,1277678.22623312,222936.183704227
11994664,3522,1279904.74758,262411.02483,36663,13,227318,N,28TH AVE NE AND NE 113TH ST,0,System.Byte[], ,NONE,-122.297760256297,47.7099856985272,1279904.74757941,262411.024832651
11994665,5737,1259180.2778,251861.52645,23923,13,2329,BLRD,19TH AVE NW AND NW CANOE PL,0,System.Byte[], ,NONE,-122.381060812416,47.6799581367274,1259180.27779819,251861.526453838
