signal_id,signal_description,latitude,longitude,nearby_count_stations,u,total_N_flow,total_S_flow,total_E_flow,total_W_flow,total_NE_flow,total_NW_flow,total_SE_flow,total_SW_flow,alpha_left,alpha_straight,alpha_right
78852,4TH AVE S AND S HENDERSON N ST,47.5230508381745,-122.329731968878,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
32854,WOODROW PL E AND E GARFIELD ST,47.6333869919404,-122.284744717057,1,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
231740,12TH AVE NW AND NW 87TH ST,47.6920578247574,-122.371401133721,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
14252,NE 63RD ST AND NE RAVENNA EB BV,47.6740000519789,-122.320648458474,7,25253.0,916.0,1015.0,0.0,0.0,0.0,11757.0,11565.0,0.0,,,
67744,WILSON AVE S AND S UPLAND RD,47.5471649434807,-122.263467730487,2,8148.0,3825.0,4323.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
3124,3RD AVE NW AND NW 77TH ST,47.6847396120201,-122.360652284094,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
234718,RAVENNA AVE NE AND NE 92ND ST,47.6957485843215,-122.30536138036,12,98808.0,37704.0,40977.0,540.0,667.0,0.0,6937.0,5730.0,0.0,,,
146652,LAKESIDE UPPER AVE S AND S LESCHI PL,47.5996429531023,-122.286434259576,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
73318,42ND AVE S AND S OTHELLO ST,47.5370490052216,-122.280735287273,23,258860.0,102325.0,73603.0,8169.0,11685.0,0.0,0.0,0.0,0.0,,,
37357,M L KING JR WAY AND E DENNY WAY,47.6188993314954,-122.296116334582,48,259338.0,83848.0,68419.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
13331,WOODLAWN AVE N AND N 50TH E ST,47.6650353046187,-122.338504194935,9,41648.0,0.0,0.0,0.0,36803.0,0.0,0.0,0.0,0.0,,,
48512,45TH AVE SW AND SW MASSACHUSETTS ST,47.5880894250074,-122.388988942195,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
80737,38TH AVE S AND S ROXBURY ST,47.5169835904682,-122.284863208283,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
75336,38TH AVE SW AND SW BARTON W ST,47.5210982609993,-122.380779125037,14,62948.0,0.0,0.0,17482.0,17736.0,0.0,0.0,0.0,0.0,,,
22312,BRIDGE WAY N AND WOODLAND PK S AVE N,47.6534059644849,-122.344714016137,12,82579.0,0.0,9.0,2773.0,257.0,10402.0,4780.0,0.0,24570.0,,,
52144,26TH AVE S AND S PLUM ST,47.5854812686565,-122.299012562699,12,123445.0,35019.0,34804.0,302.0,0.0,0.0,0.0,0.0,0.0,,,
