signal_id,signal_description,latitude,longitude,assigned_count_stations,u,total_N_flow,total_S_flow,total_E_flow,total_W_flow,total_NE_flow,total_NW_flow,total_SE_flow,total_SW_flow,max_station_distance,average_station_distance,nonzero_direction_buckets
31502,MONTLAKE BR AND MONTLAKE BLVD E,47.6468191104757,-122.30461055779,928,27383759.0,13779324.0,13604435.0,0.0,0.0,0.0,0.0,0.0,0.0,121.11444277157275,121.11444277157277,2
82001,SW KLICKITAT SR WAY AND SW KLICKITAT SR WY TURN RD,47.5710955980361,-122.35093786759,426,26083048.0,0.0,0.0,25964879.0,70234.0,47935.0,0.0,0.0,0.0,74.09812053726519,74.0981205372652,3
82000,SW KLICKITAT NR WAY AND SW KLICKITAT SR WY TURN RD,47.5711622598138,-122.350580651253,473,22787305.0,0.0,0.0,97951.0,22642015.0,0.0,0.0,0.0,47339.0,104.81895738263157,104.81895738263158,3
63251,EAST MARGINAL WAY S AND XW ALASKA,47.5595517758225,-122.339441369548,502,14933017.0,7919749.0,7013268.0,0.0,0.0,0.0,0.0,0.0,0.0,139.98636012591115,139.98636012591118,2
55703,FAUNTLEROY WAY SW AND SW ANDOVER ST,47.5678053254688,-122.373637907151,507,11490486.0,925936.0,1571107.0,695530.0,753275.0,4212625.0,0.0,49937.0,3282076.0,129.2522418720467,114.91292994544698,7
39656,2ND WR AVE AND DENNY WAY,47.6185940114624,-122.353354795358,630,10037283.0,13427.0,113.0,4731894.0,5282426.0,9423.0,0.0,0.0,0.0,63.06568023673988,63.065680236739894,5
232356,INTERLAKE AVE N AND N 85TH E ST,47.6905298390939,-122.340222200619,644,8420081.0,596.0,0.0,3633062.0,4786423.0,0.0,0.0,0.0,0.0,133.9771203270976,133.97712032709757,3
22745,FREMONT AVE N AND FREMONT BR,47.6479191039429,-122.349744880704,558,8282136.0,4232021.0,4050115.0,0.0,0.0,0.0,0.0,0.0,0.0,112.9786059387645,112.97860593876452,2
41520,17TH AVE AND E PINE ST,47.6152743767969,-122.310153218584,528,5711122.0,889.0,0.0,479400.0,504850.0,2214488.0,0.0,6462.0,2505033.0,130.66264583777618,130.52321612408377,6
51853,5TH PL S AND S LANDER ST,47.5798093652952,-122.326746376555,620,3663833.0,0.0,0.0,1632829.0,2031004.0,0.0,0.0,0.0,0.0,94.98543656136907,94.98543656136907,2
