route_id,start_edge,route_edges,movement_sequence,decisions,raw_probability,normalized_probability
r0,-E7,-E7 E6,right,1,0.1468584885038076,0.14961134588312322
r1,-E7,-E7 A1B1 E1,left straight,2,0.1037236572125616,0.10566795364429155
r2,-E7,-E7 A1B1 B1B0 E4,left right left,3,0.003167358062649563,0.003226730081962384
r3,-E7,-E7 A1B1 B1B0 E2,left right straight,3,0.015232699520323858,0.015518235955491065
r4,-E7,-E7 A1B1 E0,left left,2,0.021567415645622985,0.021971696119415834
r5,-E7,-E7 A1A0 E5,straight right,2,0.1037236572125616,0.10566795364429155
r6,-E7,-E7 A1A0 A0B0 E4,straight left straight,3,0.07325825817191388,0.07463148173330941
r7,-E7,-E7 A1A0 A0B0 E2,straight left right,3,0.015232699520323858,0.015518235955491065
r8,-E7,-E7 A1A0 E3,straight straight,2,0.4988357085672615,0.508186366982624
r9,-E6,-E6 A1B1 E1,straight straight,2,0.4988357085672615,0.508186366982624
r10,-E6,-E6 A1B1 B1B0 E4,straight right left,3,0.015232699520323858,0.015518235955491065
r11,-E6,-E6 A1B1 B1B0 E2,straight right straight,3,0.07325825817191388,0.07463148173330941
r12,-E6,-E6 A1B1 E0,straight left,2,0.1037236572125616,0.10566795364429155
r13,-E6,-E6 A1A0 E5,right right,2,0.021567415645622985,0.021971696119415834
r14,-E6,-E6 A1A0 A0B0 E4,right left straight,3,0.015232699520323858,0.015518235955491065
r15,-E6,-E6 A1A0 A0B0 E2,right left right,3,0.003167358062649563,0.003226730081962384
r16,-E6,-E6 A1A0 E3,right straight,2,0.1037236572125616,0.10566795364429155
r17,-E6,-E6 E7,left,1,0.1468584885038076,0.14961134588312322
r18,-E0,-E0 B1A1 E6,right straight,2,0.1037236572125616,0.10566795364429155
r19,-E0,-E0 B1A1 A1A0 E5,right left right,3,0.003167358062649563,0.003226730081962384
r20,-E0,-E0 B1A1 A1A0 E3,right left straight,3,0.015232699520323858,0.015518235955491065
r21,-E0,-E0 B1A1 E7,right right,2,0.021567415645622985,0.021971696119415834
