route_id,start_edge,route_edges,movement_sequence,turns,intersections,raw_probability,normalized_probability
r0,-A0_0,-A0_0 A0_1,left,1,1,0.1468584885038076,0.14940731471106847
r1,-A0_0,-A0_0 A0B0 B0C0 C0_1,right straight straight,1,3,0.07325825817191388,0.07452970369902767
r2,-A0_0,-A0_0 A0B0 B0C0 C0_0,right straight right,2,3,0.015232699520323858,0.01549707309614018
r3,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1B1 B1A1 A1_1,right straight left left straight straight,3,6,0.0011159210341150738,0.0011352885817860578
r4,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1_1,right straight left right,3,4,0.0022370512273874365,0.0022758767311321683
r5,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2B2 B2A2 A2_1,right straight left straight left straight straight,3,7,0.0007881560813955825,0.0008018350515125943
r6,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_1,right straight left straight right,3,5,0.0015799913034680233,0.0016074130976220546
r7,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_0,right straight left straight straight,2,5,0.007598614458612936,0.007730493438631731
r8,-A0_0,-A0_0 A0B0 B0_0,right right,2,2,0.021567415645622985,0.02194173240988021
r9,-A0_0,-A0_0 A0B0 B0B1 B1A1 A1_1,right left left straight,3,4,0.0022370512273874365,0.0022758767311321683
r10,-A0_0,-A0_0 A0B0 B0B1 B1C1 C1_1,right left right straight,3,4,0.0022370512273874365,0.0022758767311321683
r11,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2A2 A2_1,right left straight left straight,3,5,0.0015799913034680233,0.0016074130976220546
r12,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2C2 C2_1,right left straight right straight,3,5,0.0015799913034680233,0.0016074130976220546
r13,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2_0,right left straight straight,2,4,0.010758597065548983,0.010945319633875841
r14,-A0_0,-A0_0 A0A1 A1_1,straight left,1,2,0.1037236572125616,0.10552384989130804
r15,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1_1,straight right straight straight,1,4,0.05174106404081591,0.052639064431275986
