hour,hour_label,departures_actual,arrivals_bucketed_by_departure_hour,throughput_bucketed_by_departure_hour,unfinished_from_departure_hour,avg_active_vehicles_sampled,max_active_vehicles_sampled,avg_min_expected_remaining_sampled,max_min_expected_remaining_sampled,avg_total_queue_sampled,max_total_queue_sampled
0,12AM - 1AM,912,912,912,0,11.88135593220339,40,68.47457627118644,102,5.627118644067797,27
1,1AM - 2AM,616,616,616,0,9.466666666666667,39,67.4,104,3.933333333333333,18
2,2AM - 3AM,480,480,480,0,6.566666666666666,40,50.63333333333333,89,3.3666666666666667,18
3,3AM - 4AM,376,376,376,0,6.033333333333333,52,43.833333333333336,93,2.45,12
4,4AM - 5AM,552,552,552,0,8.066666666666666,48,65.86666666666666,113,3.1166666666666667,14
5,5AM - 6AM,1312,1312,1312,0,19.8,62,78.55,127,9.666666666666666,32
6,6AM - 7AM,2888,2888,2888,0,41.166666666666664,66,109.63333333333334,139,15.233333333333333,32
7,7AM - 8AM,4736,4736,4736,0,63.666666666666664,97,131.26666666666668,168,21.366666666666667,50
8,8AM - 9AM,5256,5256,5256,0,73.36666666666666,106,145.25,179,24.2,50
9,9AM - 10AM,4768,4768,4768,0,67.18333333333334,104,135.16666666666666,179,23.633333333333333,58
10,10AM - 11AM,4488,4488,4488,0,61.95,94,129.51666666666668,167,20.066666666666666,45
11,11AM - 12PM,4784,4784,4784,0,64.83333333333333,94,133.15,170,20.333333333333332,45
12,12PM - 1PM,5080,5080,5080,0,70.65,114,141.13333333333333,187,23.15,50
13,1PM - 2PM,5160,5160,5160,0,70.36666666666666,111,140.53333333333333,184,21.8,48
14,2PM - 3PM,5464,5464,5464,0,76.5,111,147.16666666666666,184,24.4,47
15,3PM - 4PM,5984,5984,5984,0,85.85,119,156.48333333333332,192,27.65,56
16,4PM - 5PM,6421,6421,6421,0,97.96666666666667,126,169.98333333333332,199,33.583333333333336,53
17,5PM - 6PM,6509,6509,6509,0,124.25,147,219.53333333333333,241,50.21666666666667,76
18,6PM - 7PM,5550,5550,5550,0,80.81666666666666,142,156.88333333333333,280,27.266666666666666,60
19,7PM - 8PM,4104,4104,4104,0,54.983333333333334,91,122.75,164,18.566666666666666,39
20,8PM - 9PM,3336,3336,3336,0,47.333333333333336,87,116.63333333333334,160,19.216666666666665,39
21,9PM - 10PM,2888,2888,2888,0,42.78333333333333,67,111.41666666666667,140,17.466666666666665,36
22,10PM - 11PM,2112,2112,2112,0,32.483333333333334,59,95.55,124,13.483333333333333,34
23,11PM - 12AM,1344,1344,1344,0,20.883333333333333,51,79.6,115,9.166666666666666,22
drain,After 24h drain period,,,,0,12.5,22,12.5,22,5.0,9
