hour,hour_label,throughput,average_travel_time,average_waiting_time,departures_actual,unfinished_from_departure_hour
0,12AM - 1AM,912,52.36074561403509,22.344298245614034,912,0
1,1AM - 2AM,616,55.5,24.212662337662337,616,0
2,2AM - 3AM,480,55.28333333333333,24.552083333333332,480,0
3,3AM - 4AM,376,56.90425531914894,25.611702127659573,376,0
4,4AM - 5AM,552,54.18297101449275,23.583333333333332,552,0
5,5AM - 6AM,1312,56.353658536585364,25.158536585365855,1312,0
6,6AM - 7AM,2888,51.31336565096953,20.150277008310248,2888,0
7,7AM - 8AM,4736,48.8984375,16.45777027027027,4736,0
8,8AM - 9AM,5256,50.211377473363775,17.095319634703195,5256,0
9,9AM - 10AM,4768,49.449244966442954,16.81103187919463,4768,0
10,10AM - 11AM,4488,48.844919786096256,16.607843137254903,4488,0
11,11AM - 12PM,4784,48.94126254180602,16.435827759197323,4784,0
12,12PM - 1PM,5080,50.064370078740154,16.92283464566929,5080,0
13,1PM - 2PM,5160,49.162403100775194,16.49205426356589,5160,0
14,2PM - 3PM,5464,50.6811859443631,17.405929721815518,5464,0
15,3PM - 4PM,5984,52.35294117647059,18.27707219251337,5984,0
16,4PM - 5PM,6421,56.96885220370659,21.043606914810777,6421,0
17,5PM - 6PM,6509,68.7034874788754,28.526194499923182,6509,0
18,6PM - 7PM,5550,52.266126126126125,18.287207207207206,5550,0
19,7PM - 8PM,4104,48.4203216374269,16.61135477582846,4104,0
20,8PM - 9PM,3336,50.22721822541966,18.744604316546763,3336,0
21,9PM - 10PM,2888,52.33206371191136,21.03427977839335,2888,0
22,10PM - 11PM,2112,55.193655303030305,24.039299242424242,2112,0
23,11PM - 12AM,1344,54.94345238095238,24.032738095238095,1344,0
