hour,hour_label,departures_actual,arrivals_bucketed_by_departure_hour,throughput_bucketed_by_departure_hour,unfinished_from_departure_hour,avg_active_vehicles_sampled,max_active_vehicles_sampled,avg_min_expected_remaining_sampled,max_min_expected_remaining_sampled,avg_total_queue_sampled,max_total_queue_sampled
0,12AM - 1AM,912,912,912,0,15.627118644067796,60,72.22033898305085,125,3.2203389830508473,21
1,1AM - 2AM,616,616,616,0,11.95,64,69.88333333333334,129,2.3666666666666667,23
2,2AM - 3AM,480,480,480,0,8.45,60,52.516666666666666,109,1.7666666666666666,21
3,3AM - 4AM,376,376,376,0,7.016666666666667,60,44.81666666666667,101,1.3833333333333333,21
4,4AM - 5AM,552,552,552,0,9.85,60,67.65,125,1.8333333333333333,21
5,5AM - 6AM,1312,1312,1312,0,23.716666666666665,84,82.48333333333333,149,4.833333333333333,29
6,6AM - 7AM,2888,2888,2888,0,51.666666666666664,80,120.13333333333334,153,10.233333333333333,24
7,7AM - 8AM,4736,4736,4736,0,84.48333333333333,116,152.73333333333332,189,16.716666666666665,30
8,8AM - 9AM,5256,5256,5256,0,97.76666666666667,150,170.66666666666666,227,18.95,37
9,9AM - 10AM,4768,4768,4768,0,87.91666666666667,140,156.35,218,17.433333333333334,37
10,10AM - 11AM,4488,4488,4488,0,82.65,125,150.58333333333334,198,16.5,34
11,11AM - 12PM,4784,4784,4784,0,85.73333333333333,112,154.43333333333334,191,17.066666666666666,33
12,12PM - 1PM,5080,5080,5080,0,93.53333333333333,138,164.95,217,18.233333333333334,37
13,1PM - 2PM,5160,5160,5160,0,94.15,134,165.05,213,18.583333333333332,33
14,2PM - 3PM,5464,5464,5464,0,103.6,144,175.55,221,19.683333333333334,40
15,3PM - 4PM,5765,5765,5765,0,156.85,209,306.35,424,29.816666666666666,61
16,4PM - 5PM,5527,5527,5527,0,186.48333333333332,218,555.9833333333333,607,36.583333333333336,56
17,5PM - 6PM,5673,5673,5673,0,180.53333333333333,208,553.6333333333333,614,46.266666666666666,75
18,6PM - 7PM,5615,5615,5615,0,149.83333333333334,192,318.2,537,28.25,50
19,7PM - 8PM,4109,4109,4109,0,75.01666666666667,132,142.91666666666666,205,14.916666666666666,37
20,8PM - 9PM,3336,3336,3336,0,61.45,109,130.8,182,11.866666666666667,34
21,9PM - 10PM,2888,2888,2888,0,53.0,84,121.6,157,10.483333333333333,28
22,10PM - 11PM,2112,2112,2112,0,37.75,78,100.8,143,7.283333333333333,25
23,11PM - 12AM,1344,1344,1344,0,25.566666666666666,95,84.28333333333333,159,4.916666666666667,35
drain,After 24h drain period,,,,0,20.0,32,20.0,32,4.5,5
