hour,hour_label,throughput,average_travel_time,average_waiting_time,departures_actual,unfinished_from_departure_hour
0,12AM - 1AM,912,57.32785087719298,26.236842105263158,912,0
1,1AM - 2AM,616,59.842532467532465,27.63961038961039,616,0
2,2AM - 3AM,480,59.266666666666666,27.747916666666665,480,0
3,3AM - 4AM,376,59.920212765957444,27.56117021276596,376,0
4,4AM - 5AM,552,59.80072463768116,27.72463768115942,552,0
5,5AM - 6AM,1312,58.59832317073171,27.229420731707318,1312,0
6,6AM - 7AM,2888,59.086218836565095,27.41724376731302,2888,0
7,7AM - 8AM,4736,63.00190033783784,29.640625,4736,0
8,8AM - 9AM,5256,65.53976407914764,30.6691400304414,5256,0
9,9AM - 10AM,4768,63.02160234899329,29.42239932885906,4768,0
10,10AM - 11AM,4488,62.513146167557935,29.176470588235293,4488,0
11,11AM - 12PM,4784,62.836120401337794,29.471571906354516,4784,0
12,12PM - 1PM,5080,64.70236220472441,30.254133858267718,5080,0
13,1PM - 2PM,5160,64.65,30.10639534883721,5160,0
14,2PM - 3PM,5464,67.25677159590045,31.68484626647145,5464,0
15,3PM - 4PM,5765,99.60901994796184,41.1836947094536,5765,0
16,4PM - 5PM,5527,117.41378686448344,47.04631807490501,5527,0
17,5PM - 6PM,5673,111.1195134849286,45.35660144544333,5673,0
18,6PM - 7PM,5615,92.55440783615316,40.18361531611754,5615,0
19,7PM - 8PM,4109,61.65612071063519,28.96690192260891,4109,0
20,8PM - 9PM,3336,60.1468824940048,27.88189448441247,3336,0
21,9PM - 10PM,2888,59.34660664819945,27.51904432132964,2888,0
22,10PM - 11PM,2112,58.38494318181818,26.869791666666668,2112,0
23,11PM - 12AM,1344,57.54315476190476,26.500744047619047,1344,0
