hour,hour_label,departures_actual,arrivals_bucketed_by_departure_hour,throughput_bucketed_by_departure_hour,unfinished_from_departure_hour,avg_active_vehicles_sampled,max_active_vehicles_sampled,avg_min_expected_remaining_sampled,max_min_expected_remaining_sampled,avg_total_queue_sampled,max_total_queue_sampled
0,12AM - 1AM,912,912,912,0,11.677966101694915,38,68.13559322033899,90,6.186440677966102,17
1,1AM - 2AM,616,616,616,0,9.633333333333333,32,67.56666666666666,97,4.433333333333334,22
2,2AM - 3AM,480,480,480,0,6.1,28,50.03333333333333,76,3.25,13
3,3AM - 4AM,376,376,376,0,5.116666666666666,33,42.916666666666664,74,2.6666666666666665,11
4,4AM - 5AM,552,552,552,0,7.583333333333333,35,65.38333333333334,100,3.533333333333333,12
5,5AM - 6AM,1312,1312,1312,0,17.9,46,76.5,111,8.033333333333333,22
6,6AM - 7AM,2888,2888,2888,0,37.166666666666664,62,105.51666666666667,135,13.966666666666667,30
7,7AM - 8AM,4736,4736,4736,0,58.483333333333334,91,125.88333333333334,164,17.7,34
8,8AM - 9AM,5256,5256,5256,0,67.28333333333333,104,138.68333333333334,177,18.966666666666665,39
9,9AM - 10AM,4749,4749,4749,0,75.58333333333333,142,162.85,326,30.35,113
10,10AM - 11AM,4488,4488,4488,0,57.166666666666664,83,124.43333333333334,156,17.783333333333335,47
11,11AM - 12PM,4784,4784,4784,0,59.8,87,127.68333333333334,160,18.983333333333334,42
12,12PM - 1PM,5037,5037,5037,0,80.58333333333333,133,177.51666666666668,344,30.866666666666667,106
13,1PM - 2PM,5160,5160,5160,0,66.8,114,137.25,192,21.816666666666666,59
14,2PM - 3PM,5464,5464,5464,0,69.05,99,139.56666666666666,172,19.3,47
15,3PM - 4PM,5858,5858,5858,0,94.28333333333333,156,207.48333333333332,389,36.85,116
16,4PM - 5PM,5576,5576,5576,0,148.85,237,522.5833333333334,723,81.08333333333333,219
17,5PM - 6PM,6483,6483,6483,0,129.41666666666666,146,491.48333333333335,538,54.86666666666667,83
18,6PM - 7PM,5745,5745,5745,0,93.01666666666667,148,223.73333333333332,485,35.05,93
19,7PM - 8PM,4104,4104,4104,0,51.483333333333334,82,118.78333333333333,155,15.166666666666666,31
20,8PM - 9PM,3336,3336,3336,0,43.166666666666664,72,112.3,142,13.233333333333333,27
21,9PM - 10PM,2888,2888,2888,0,37.85,60,106.38333333333334,133,14.3,30
22,10PM - 11PM,2112,2112,2112,0,27.916666666666668,57,90.78333333333333,122,11.433333333333334,32
23,11PM - 12AM,1344,1344,1344,0,19.866666666666667,43,78.41666666666667,106,9.516666666666667,26
drain,After 24h drain period,,,,0,12.0,22,12.0,22,11.0,20
