hour,hour_label,throughput,average_travel_time,average_waiting_time,departures_actual,unfinished_from_departure_hour
0,12AM - 1AM,912,52.781798245614034,22.667763157894736,912,0
1,1AM - 2AM,616,56.618506493506494,24.803571428571427,616,0
2,2AM - 3AM,480,55.229166666666664,24.16875,480,0
3,3AM - 4AM,376,52.22872340425532,22.03191489361702,376,0
4,4AM - 5AM,552,55.92391304347826,24.53985507246377,552,0
5,5AM - 6AM,1312,55.55564024390244,24.495426829268293,1312,0
6,6AM - 7AM,2888,48.84314404432133,17.757963988919666,2888,0
7,7AM - 8AM,4736,47.428420608108105,14.912795608108109,4736,0
8,8AM - 9AM,5256,48.285768645357685,15.19044901065449,5256,0
9,9AM - 10AM,4768,48.14974832214765,15.50356543624161,4768,0
10,10AM - 11AM,4488,47.782085561497325,15.407085561497325,4488,0
11,11AM - 12PM,4784,47.698160535117054,15.181438127090301,4784,0
12,12PM - 1PM,5080,47.95767716535433,15.006496062992126,5080,0
13,1PM - 2PM,5160,48.18023255813954,15.188953488372093,5160,0
14,2PM - 3PM,5464,48.650805270863835,15.296486090775987,5464,0
15,3PM - 4PM,5984,50.1447192513369,16.122660427807485,5984,0
16,4PM - 5PM,6369,63.28089181975192,23.741874705605277,6369,0
17,5PM - 6PM,6252,77.82245681381957,32.493761996161226,6252,0
18,6PM - 7PM,5799,63.1367477151233,23.876530436282117,5799,0
19,7PM - 8PM,4104,47.6474171539961,15.52972709551657,4104,0
20,8PM - 9PM,3336,48.60971223021583,17.084232613908874,3336,0
21,9PM - 10PM,2888,49.543282548476455,18.23926592797784,2888,0
22,10PM - 11PM,2112,52.78030303030303,21.611268939393938,2112,0
23,11PM - 12AM,1344,55.039434523809526,23.803571428571427,1344,0
