time,sim_hour,clamped_hour,is_drain_period,active_vehicles,min_expected_remaining,total_queue,departed_this_step,arrived_this_step,departed_this_hour,arrivals_bucketed_to_this_departure_hour,throughput_bucketed_to_this_departure_hour,vehicles_still_tracked
60.0,0,0,False,23,88,17,0,1,72,49,49,23
120.0,0,0,False,8,73,6,0,0,80,72,72,8
180.0,0,0,False,4,69,4,0,0,88,84,84,4
240.0,0,0,False,6,71,3,0,0,104,98,98,6
300.0,0,0,False,4,69,0,0,0,112,108,108,4
360.0,0,0,False,19,84,14,0,0,136,117,117,19
420.0,0,0,False,10,75,7,0,0,144,134,134,10
480.0,0,0,False,18,83,11,0,0,168,150,150,18
540.0,0,0,False,11,76,3,0,0,176,165,165,11
600.0,0,0,False,10,75,4,0,0,184,174,174,10
660.0,0,0,False,21,86,15,0,0,208,187,187,21
720.0,0,0,False,12,77,4,0,0,224,212,212,12
780.0,0,0,False,9,74,1,8,0,232,223,223,9
840.0,0,0,False,3,68,1,0,0,232,229,229,3
900.0,0,0,False,15,80,7,0,0,256,241,241,15
960.0,0,0,False,25,90,12,0,0,280,255,255,25
1020.0,0,0,False,7,72,2,0,0,288,281,281,7
1080.0,0,0,False,4,69,3,0,1,296,292,292,4
1140.0,0,0,False,6,71,6,0,1,312,306,306,6
1200.0,0,0,False,8,73,4,0,0,320,312,312,8
1260.0,0,0,False,23,88,15,0,0,344,321,321,23
1320.0,0,0,False,13,78,13,0,1,352,339,339,13
1380.0,0,0,False,13,78,9,0,0,376,363,363,13
1440.0,0,0,False,10,75,5,0,0,384,374,374,10
1500.0,0,0,False,11,76,2,0,0,392,381,381,11
1560.0,0,0,False,22,87,9,0,0,416,394,394,22
1620.0,0,0,False,6,71,6,0,0,432,426,426,6
1680.0,0,0,False,1,66,1,0,0,440,439,439,1
1740.0,0,0,False,4,69,0,0,0,448,444,444,4
1800.0,0,0,False,14,79,7,0,0,472,458,458,14
1860.0,0,0,False,7,72,7,0,0,480,473,473,7
1920.0,0,0,False,12,77,10,0,0,504,492,492,12
1980.0,0,0,False,6,71,1,0,0,512,506,506,6
2040.0,0,0,False,9,74,5,0,0,528,519,519,9
2100.0,0,0,False,7,72,5,0,0,536,529,529,7
2160.0,0,0,False,23,72,16,0,0,560,537,537,23
2220.0,0,0,False,38,87,17,0,1,600,562,562,38
2280.0,0,0,False,16,65,12,0,0,608,592,592,16
2340.0,0,0,False,10,59,2,0,0,616,606,606,10
2400.0,0,0,False,3,52,1,0,0,616,613,613,3
2460.0,0,0,False,6,55,3,0,0,632,626,626,6
2520.0,0,0,False,14,63,8,0,0,656,642,642,14
2580.0,0,0,False,5,54,2,0,0,664,659,659,5
2640.0,0,0,False,5,54,4,0,0,672,667,667,5
2700.0,0,0,False,12,61,7,0,1,696,684,684,12
2760.0,0,0,False,6,55,1,0,1,704,698,698,6
2820.0,0,0,False,22,71,8,0,0,728,706,706,22
2880.0,0,0,False,14,63,12,0,1,744,730,730,14
2940.0,0,0,False,6,55,5,0,1,752,746,746,6
3000.0,0,0,False,9,58,6,0,0,760,751,751,9
3060.0,0,0,False,13,54,5,0,1,776,763,763,13
3120.0,0,0,False,36,77,10,16,0,816,780,780,36
3180.0,0,0,False,23,64,9,0,1,824,801,801,23
3240.0,0,0,False,2,43,1,0,0,824,822,822,2
3300.0,0,0,False,4,45,3,0,0,832,828,828,4
3360.0,0,0,False,7,48,4,0,0,848,841,841,7
3420.0,0,0,False,6,47,4,0,0,856,850,850,6
3480.0,0,0,False,10,35,3,0,0,880,870,870,10
3540.0,0,0,False,18,27,3,0,1,904,886,886,18
3600.0,1,1,False,12,13,2,0,0,0,0,0,12
3660.0,1,1,False,32,97,22,0,1,72,40,40,32
3720.0,1,1,False,13,78,2,0,2,80,67,67,13
3780.0,1,1,False,3,68,0,0,0,80,77,77,3
3840.0,1,1,False,6,71,6,0,0,88,82,82,6
3900.0,1,1,False,9,74,1,0,0,96,87,87,9
3960.0,1,1,False,4,69,2,0,3,104,100,100,4
4020.0,1,1,False,8,73,2,0,1,112,104,104,8
4080.0,1,1,False,17,82,0,0,0,128,111,111,17
