hour,hour_label,departures_actual,arrivals_bucketed_by_departure_hour,throughput_bucketed_by_departure_hour,unfinished_from_departure_hour,avg_active_vehicles_sampled,max_active_vehicles_sampled,avg_min_expected_remaining_sampled,max_min_expected_remaining_sampled,avg_total_queue_sampled,max_total_queue_sampled
0,12AM - 1AM,912,912,912,0,9.745762711864407,47,66.33898305084746,112,3.5762711864406778,30
1,1AM - 2AM,616,616,616,0,7.216666666666667,48,65.15,113,2.283333333333333,16
2,2AM - 3AM,480,480,480,0,5.35,50,49.416666666666664,99,1.65,12
3,3AM - 4AM,376,376,376,0,4.283333333333333,39,42.083333333333336,80,1.1833333333333333,8
4,4AM - 5AM,552,552,552,0,6.15,42,63.95,107,1.9166666666666667,12
5,5AM - 6AM,1312,1312,1312,0,14.583333333333334,59,73.35,124,5.216666666666667,25
6,6AM - 7AM,2888,2888,2888,0,34.71666666666667,56,103.18333333333334,129,11.183333333333334,28
7,7AM - 8AM,4736,4736,4736,0,59.63333333333333,91,127.3,162,18.833333333333332,53
8,8AM - 9AM,5256,5256,5256,0,69.66666666666667,114,141.58333333333334,187,21.583333333333332,44
9,9AM - 10AM,4768,4768,4768,0,63.36666666666667,107,131.31666666666666,182,20.283333333333335,40
10,10AM - 11AM,4488,4488,4488,0,58.61666666666667,93,126.2,166,18.133333333333333,37
11,11AM - 12PM,4784,4784,4784,0,61.0,92,129.3,167,19.266666666666666,43
12,12PM - 1PM,5080,5080,5080,0,66.11666666666666,113,136.68333333333334,186,21.4,52
13,1PM - 2PM,5160,5160,5160,0,67.76666666666667,120,138.0,193,22.133333333333333,52
14,2PM - 3PM,5464,5464,5464,0,73.88333333333334,115,144.61666666666667,188,24.55,57
15,3PM - 4PM,5983,5983,5983,0,89.0,115,161.45,195,31.283333333333335,57
16,4PM - 5PM,6379,6379,6379,0,118.86666666666666,143,213.7,257,53.333333333333336,83
17,5PM - 6PM,6407,6407,6407,0,145.06666666666666,161,344.5,404,70.33333333333333,101
18,6PM - 7PM,5668,5668,5668,0,102.4,158,208.1,420,42.833333333333336,80
19,7PM - 8PM,4104,4104,4104,0,63.1,106,130.88333333333333,179,22.9,38
20,8PM - 9PM,3336,3336,3336,0,50.0,90,119.31666666666666,163,18.833333333333332,41
21,9PM - 10PM,2888,2888,2888,0,42.43333333333333,71,111.08333333333333,144,16.666666666666668,41
22,10PM - 11PM,2112,2112,2112,0,29.35,63,92.43333333333334,128,11.516666666666667,37
23,11PM - 12AM,1344,1344,1344,0,18.966666666666665,58,77.68333333333334,122,7.15,25
drain,After 24h drain period,,,,0,24.0,24,24.0,24,6.0,6
