hour,hour_label,throughput,average_travel_time,average_waiting_time,departures_actual,unfinished_from_departure_hour
0,12AM - 1AM,912,42.79714912280702,13.56578947368421,912,0
1,1AM - 2AM,616,43.33441558441559,13.63474025974026,616,0
2,2AM - 3AM,480,43.74375,14.14375,480,0
3,3AM - 4AM,376,43.40425531914894,13.72340425531915,376,0
4,4AM - 5AM,552,43.53623188405797,13.891304347826088,552,0
5,5AM - 6AM,1312,42.48094512195122,13.285060975609756,1312,0
6,6AM - 7AM,2888,43.48753462603878,13.822368421052632,2888,0
7,7AM - 8AM,4736,45.926520270270274,15.555532094594595,4736,0
8,8AM - 9AM,5256,47.79946727549467,16.809931506849313,5256,0
9,9AM - 10AM,4768,46.50293624161074,15.88506711409396,4768,0
10,10AM - 11AM,4488,46.04812834224599,15.602272727272727,4488,0
11,11AM - 12PM,4784,46.2869983277592,15.83695652173913,4784,0
12,12PM - 1PM,5080,46.88720472440945,16.255511811023624,5080,0
13,1PM - 2PM,5160,47.81511627906977,16.951162790697673,5160,0
14,2PM - 3PM,5464,48.8590775988287,17.6303074670571,5464,0
15,3PM - 4PM,5983,54.313555072706,21.37623265920107,5983,0
16,4PM - 5PM,6379,69.43141558237969,30.840100329205203,6379,0
17,5PM - 6PM,6407,81.34306227563603,37.8356485094428,6407,0
18,6PM - 7PM,5668,64.4181369089626,27.514114326040932,5668,0
19,7PM - 8PM,4104,55.05921052631579,21.657894736842106,4104,0
20,8PM - 9PM,3336,53.45263788968825,20.58872901678657,3336,0
21,9PM - 10PM,2888,52.317520775623265,19.897506925207757,2888,0
22,10PM - 11PM,2112,50.75426136363637,18.852272727272727,2112,0
23,11PM - 12AM,1344,49.417410714285715,17.996279761904763,1344,0
