time,sim_hour,clamped_hour,is_drain_period,active_vehicles,min_expected_remaining,total_queue,departed_this_step,arrived_this_step,departed_this_hour,arrivals_bucketed_to_this_departure_hour,throughput_bucketed_to_this_departure_hour,vehicles_still_tracked
60.0,0,0,False,47,112,30,0,0,72,25,25,47
120.0,0,0,False,0,65,0,0,0,80,80,80,0
180.0,0,0,False,4,69,0,0,0,88,84,84,4
240.0,0,0,False,12,77,4,0,0,104,92,92,12
300.0,0,0,False,4,69,0,0,0,112,108,108,4
360.0,0,0,False,12,77,0,0,3,136,124,124,12
420.0,0,0,False,8,73,4,0,0,144,136,136,8
480.0,0,0,False,13,78,4,0,1,168,155,155,13
540.0,0,0,False,8,73,4,0,0,176,168,168,8
600.0,0,0,False,8,73,4,0,0,184,176,176,8
660.0,0,0,False,20,85,13,0,2,208,188,188,20
720.0,0,0,False,8,73,0,0,0,224,216,216,8
780.0,0,0,False,8,73,8,8,0,232,224,224,8
840.0,0,0,False,0,65,0,0,0,232,232,232,0
900.0,0,0,False,12,77,8,0,0,256,244,244,12
960.0,0,0,False,22,87,4,0,0,280,258,258,22
1020.0,0,0,False,4,69,0,0,0,288,284,284,4
1080.0,0,0,False,4,69,0,0,0,296,292,292,4
1140.0,0,0,False,8,73,0,0,0,312,304,304,8
1200.0,0,0,False,4,69,0,0,0,320,316,316,4
1260.0,0,0,False,24,89,8,0,0,344,320,320,24
1320.0,0,0,False,8,73,4,0,0,352,344,344,8
1380.0,0,0,False,12,77,4,0,0,376,364,364,12
1440.0,0,0,False,8,73,4,0,0,384,376,376,8
1500.0,0,0,False,8,73,0,0,0,392,384,384,8
1560.0,0,0,False,16,81,8,0,1,416,400,400,16
1620.0,0,0,False,4,69,4,0,0,432,428,428,4
1680.0,0,0,False,0,65,0,0,0,440,440,440,0
1740.0,0,0,False,0,65,0,0,0,448,448,448,0
1800.0,0,0,False,16,81,4,0,0,472,456,456,16
1860.0,0,0,False,4,69,0,0,0,480,476,476,4
1920.0,0,0,False,12,77,0,0,0,504,492,492,12
1980.0,0,0,False,4,69,0,0,0,512,508,508,4
2040.0,0,0,False,8,73,4,0,0,528,520,520,8
2100.0,0,0,False,8,73,4,0,0,536,528,528,8
2160.0,0,0,False,22,71,7,0,0,560,538,538,22
2220.0,0,0,False,31,80,14,0,2,600,569,569,31
2280.0,0,0,False,8,57,0,0,0,608,600,600,8
2340.0,0,0,False,8,57,0,0,0,616,608,608,8
2400.0,0,0,False,0,49,0,0,0,616,616,616,0
2460.0,0,0,False,0,49,0,0,0,632,632,632,0
2520.0,0,0,False,16,65,10,0,0,656,640,640,16
2580.0,0,0,False,0,49,0,0,0,664,664,664,0
2640.0,0,0,False,4,53,4,0,0,672,668,668,4
