hour,total_network_vph,max_route_vph,min_route_vph,route_count,unique_start_edges,base_hourly_rate_per_entry,scaled_hourly_rate_per_entry,demand_scale
0,679.8120883141173,43.18390442390277,0.27419626443059686,72,8,242.79003154075627,84.9765110392647,0.35
1,445.3902687458879,28.292657820423422,0.17964427229695376,72,8,159.06795312353145,55.673783593236,0.35
2,346.5660662570602,22.01501876632935,0.13978439392237452,72,8,123.77359509180725,43.32075828213254,0.35
3,264.7789050495045,16.819628726343108,0.10679625724903448,72,8,94.56389466053734,33.09736313118807,0.35
4,402.6294131324809,25.576347337517692,0.1623970549046754,72,8,143.7962189758861,50.32867664156013,0.35
5,999.0002387279152,63.459787741739184,0.40293801527386053,72,8,356.78579954568414,124.87502984098944,0.35
6,2223.4187529854553,141.2388872950894,0.8967965218821595,72,8,794.0781260662344,277.927344123182,0.35
7,3659.21474832201,232.44538111987498,1.4759122880963427,72,8,1306.8624101150042,457.40184354025143,0.35
8,4061.092904355244,257.97400613040065,1.6380063300158396,72,8,1450.3903229840164,507.6366130444057,0.35
9,3677.9519988685115,233.6356330301837,1.4834697943453001,72,8,1313.5542853101833,459.7439998585641,0.35
10,3473.500479603321,220.64819868025177,1.4010060609058144,72,8,1240.535885572615,434.1875599504152,0.35
11,3691.4205331294543,234.49119871701484,1.4889022099277656,72,8,1318.3644761176627,461.4275666411819,0.35
12,3924.9187921112884,249.32377770810814,1.5830816919705792,72,8,1401.756711468318,490.6148490139112,0.35
13,3994.5022795655123,253.74395016952602,1.6111475834926279,72,8,1426.6079569876836,499.3127849456892,0.35
14,4221.284855999351,268.14992687113494,1.7026183536731254,72,8,1507.601734285483,527.660606999919,0.35
15,4624.953405056694,293.79228354745976,1.865434534971301,72,8,1651.769073234534,578.1191756320869,0.35
16,4967.949973549235,315.58055605117625,2.003779203166892,72,8,1774.2678476961562,620.9937466936547,0.35
17,5074.908920757458,322.3749409009303,2.0469201597283657,72,8,1812.467471699093,634.3636150946825,0.35
18,4247.623113961776,269.823019824457,1.7132416598323559,72,8,1517.0082549863494,530.9528892452222,0.35
19,3170.059560176176,201.37263137555829,1.278615818054081,72,8,1132.164128634349,396.2574450220221,0.35
20,2562.5214393722176,162.7798075737065,1.0335706267619587,72,8,915.1862283472209,320.3151799215273,0.35
21,2225.53660650048,141.3734203305396,0.8976507395879243,72,8,794.8345023216002,278.19207581256006,0.35
22,1614.0466054201106,102.52956006863538,0.6510115919247759,72,8,576.4452162214683,201.75582567751388,0.35
23,1014.0419271487929,64.41528536572548,0.40900494883775423,72,8,362.15783112456904,126.75524089359915,0.35
