route_id,start_edge,route_edges,movement_sequence,turns,intersections,raw_probability,normalized_probability
r0,-A0_0,-A0_0 A0_1,left,1,1,0.09999999999999998,0.10057253935202316
r1,-A0_0,-A0_0 A0B0 B0C0 C0_1,right straight straight,1,3,0.06399999999999999,0.06436642518529483
r2,-A0_0,-A0_0 A0B0 B0C0 C0_0,right straight right,2,3,0.007999999999999997,0.008045803148161852
r3,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1B1 B1A1 A1_1,right straight left left straight straight,3,6,0.0005119999999999998,0.0005149314014823585
r4,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1_1,right straight left right,3,4,0.0007999999999999995,0.0008045803148161849
r5,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2B2 B2A2 A2_1,right straight left straight left straight straight,3,7,0.0004095999999999998,0.0004119451211858868
r6,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_1,right straight left straight right,3,5,0.0006399999999999996,0.000643664251852948
r7,-A0_0,-A0_0 A0B0 B0C0 C0C1 C1C2 C2_0,right straight left straight straight,2,5,0.005119999999999999,0.005149314014823585
r8,-A0_0,-A0_0 A0B0 B0_0,right right,2,2,0.009999999999999995,0.010057253935202314
r9,-A0_0,-A0_0 A0B0 B0B1 B1A1 A1_1,right left left straight,3,4,0.0007999999999999995,0.0008045803148161849
r10,-A0_0,-A0_0 A0B0 B0B1 B1C1 C1_1,right left right straight,3,4,0.0007999999999999995,0.0008045803148161849
r11,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2A2 A2_1,right left straight left straight,3,5,0.0006399999999999996,0.000643664251852948
r12,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2C2 C2_1,right left straight right straight,3,5,0.0006399999999999996,0.000643664251852948
r13,-A0_0,-A0_0 A0B0 B0B1 B1B2 B2_0,right left straight straight,2,4,0.006399999999999998,0.006436642518529481
r14,-A0_0,-A0_0 A0A1 A1_1,straight left,1,2,0.07999999999999999,0.08045803148161854
r15,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1_1,straight right straight straight,1,4,0.051199999999999996,0.05149314014823586
r16,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C0 C0_1,straight right straight right left,3,5,0.0006399999999999996,0.000643664251852948
r17,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C0 C0_0,straight right straight right straight,2,5,0.005119999999999999,0.005149314014823585
r18,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2B2 B2A2 A2_1,straight right straight left left straight straight,3,7,0.0004095999999999998,0.0004119451211858868
r19,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2_1,straight right straight left right,3,5,0.0006399999999999996,0.000643664251852948
r20,-A0_0,-A0_0 A0A1 A1B1 B1C1 C1C2 C2_0,straight right straight left straight,2,5,0.005119999999999999,0.005149314014823585
r21,-A0_0,-A0_0 A0A1 A1B1 B1B0 B0C0 C0_1,straight right right left straight,3,5,0.0006399999999999996,0.000643664251852948
r22,-A0_0,-A0_0 A0A1 A1B1 B1B0 B0_0,straight right right straight,2,4,0.006399999999999998,0.006436642518529481
r23,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2A2 A2_1,straight right left left straight,3,5,0.0006399999999999996,0.000643664251852948
r24,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2C2 C2_1,straight right left right straight,3,5,0.0006399999999999996,0.000643664251852948
r25,-A0_0,-A0_0 A0A1 A1B1 B1B2 B2_0,straight right left straight,2,4,0.006399999999999998,0.006436642518529481
r26,-A0_0,-A0_0 A0A1 A1A2 A2_1,straight straight left,1,3,0.064,0.06436642518529484
r27,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2_1,straight straight right straight straight,1,5,0.04096,0.0411945121185887
r28,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2C1 C1_1,straight straight right straight right left,3,6,0.0005119999999999998,0.0005149314014823585
r29,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2C1 C1C0 C0_1,straight straight right straight right straight left,3,7,0.0004095999999999998,0.0004119451211858868
r30,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2C1 C1C0 C0_0,straight straight right straight right straight straight,2,7,0.0032767999999999994,0.003295560969487095
r31,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2C2 C2_0,straight straight right straight left,2,5,0.005119999999999999,0.005149314014823585
r32,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2B1 B1C1 C1_1,straight straight right right left straight,3,6,0.0005119999999999998,0.0005149314014823585
r33,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2B1 B1B0 B0C0 C0_1,straight straight right right straight left straight,3,7,0.00040959999999999993,0.0004119451211858869
r34,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2B1 B1B0 B0_0,straight straight right right straight straight,2,6,0.004096,0.0041194512118588695
r35,-A0_0,-A0_0 A0A1 A1A2 A2B2 B2_0,straight straight right left,2,4,0.006399999999999999,0.006436642518529482
r36,-A0_0,-A0_0 A0A1 A1A2 A2_0,straight straight straight,0,3,0.5120000000000001,0.5149314014823588
r37,-B0_0,-B0_0 B0A0 A0_1,left straight,1,2,0.07999999999999999,0.08046476447963434
r38,-B0_0,-B0_0 B0A0 A0_0,left left,2,2,0.009999999999999995,0.010058095559954289
r39,-B0_0,-B0_0 B0A0 A0A1 A1_1,left right left,3,3,0.0009999999999999994,0.0010058095559954288
r40,-B0_0,-B0_0 B0A0 A0A1 A1B1 B1C1 C1_1,left right right straight straight,3,5,0.0006399999999999996,0.0006437181158370745
r41,-B0_0,-B0_0 B0A0 A0A1 A1A2 A2_1,left right straight left,3,4,0.0007999999999999995,0.0008046476447963431
r42,-B0_0,-B0_0 B0A0 A0A1 A1A2 A2B2 B2C2 C2_1,left right straight right straight straight,3,6,0.0005119999999999998,0.0005149744926696597
r43,-B0_0,-B0_0 B0A0 A0A1 A1A2 A2_0,left right straight straight,2,4,0.006399999999999998,0.006437181158370746
r44,-B0_0,-B0_0 B0C0 C0_1,right straight,1,2,0.07999999999999999,0.08046476447963434
r45,-B0_0,-B0_0 B0C0 C0_0,right right,2,2,0.009999999999999995,0.010058095559954289
r46,-B0_0,-B0_0 B0C0 C0C1 C1B1 B1A1 A1_1,right left left straight straight,3,5,0.0006399999999999996,0.0006437181158370745
r47,-B0_0,-B0_0 B0C0 C0C1 C1_1,right left right,3,3,0.0009999999999999994,0.0010058095559954288
r48,-B0_0,-B0_0 B0C0 C0C1 C1C2 C2B2 B2A2 A2_1,right left straight left straight straight,3,6,0.0005119999999999998,0.0005149744926696597
r49,-B0_0,-B0_0 B0C0 C0C1 C1C2 C2_1,right left straight right,3,4,0.0007999999999999995,0.0008046476447963431
r50,-B0_0,-B0_0 B0C0 C0C1 C1C2 C2_0,right left straight straight,2,4,0.006399999999999998,0.006437181158370746
