network,alpha,condition,run,shots,num_decisions,optimal_hits,optimum_recovery_rate,average_selected_energy,average_exact_min_energy,average_optimality_gap,average_travel_time,average_waiting_time,throughput
2x2,0.0,a0,1,512,600,594,0.99,-75.58066666666667,-75.62893333333334,0.04826666666666675,80.34,31.05,867.0
2x2,0.0,a0,2,512,600,596,0.9933333333333333,-73.07735,-73.11188333333332,0.03453333333333338,79.72,31.06,863.0
2x2,0.0,a0,3,512,600,593,0.9883333333333333,-74.69139999999999,-74.77463333333333,0.08323333333333338,80.8,31.73,865.0
2x2,0.0,a0,4,512,600,595,0.9916666666666667,-74.29028333333333,-74.36461666666666,0.07433333333333335,80.17,31.01,862.0
2x2,0.0,a0,5,512,600,590,0.9833333333333333,-73.5407,-73.6615,0.12080000000000003,79.88,31.17,872.0
2x2,0.0,a0,6,512,600,595,0.9916666666666667,-74.5094,-74.53333333333333,0.02393333333333333,79.62,30.78,874.0
2x2,0.0,a0,7,512,600,595,0.9916666666666667,-75.08523333333333,-75.14213333333333,0.05689999999999999,79.52,30.68,875.0
2x2,0.0,a0,8,512,600,595,0.9916666666666667,-74.45113333333333,-74.53766666666667,0.08653333333333336,79.73,31.41,868.0
2x2,0.0,a0,9,512,600,593,0.9883333333333333,-74.79423333333334,-74.84186666666668,0.047633333333333375,79.73,30.92,865.0
2x2,0.0,a0,10,512,600,594,0.99,-74.15911666666666,-74.24185,0.08273333333333334,79.79,31.15,865.0
2x2,0.0,a0,11,512,600,590,0.9833333333333333,-75.09686666666667,-75.2419,0.14503333333333335,79.13,30.83,863.0
2x2,0.0,a0,12,512,600,595,0.9916666666666667,-74.05786666666667,-74.11813333333333,0.0602666666666667,79.97,31.06,867.0
2x2,0.0,a0,13,512,600,593,0.9883333333333333,-75.2437,-75.31106666666666,0.06736666666666673,79.79,31.03,867.0
2x2,0.0,a0,14,512,600,592,0.9866666666666667,-75.66951666666667,-75.79918333333333,0.12966666666666674,79.76,31.09,872.0
2x2,0.0,a0,15,512,600,598,0.9966666666666667,-74.89985,-74.92668333333334,0.026833333333333348,79.88,30.94,867.0
2x2,0.0,a0,16,512,600,594,0.99,-74.0372,-74.13593333333333,0.09873333333333335,81.66,32.02,858.0
2x2,0.0,a0,17,512,600,594,0.99,-73.48815,-73.54381666666667,0.0556666666666667,80.21,31.39,861.0
2x2,0.0,a0,18,512,600,596,0.9933333333333333,-74.89591666666666,-75.03101666666667,0.13510000000000008,79.62,31.07,871.0
2x2,0.0,a0,19,512,600,589,0.9816666666666667,-74.83175,-74.98044999999999,0.1487,79.89,30.65,863.0
2x2,0.0,a0,20,512,600,597,0.995,-75.08953333333334,-75.12336666666666,0.0338333333333334,79.51,30.88,865.0
2x2,0.1,a1,1,512,600,593,0.9883333333333333,-73.60764999999999,-73.64378333333333,0.03613333333333333,80.19,31.26,879.0
2x2,0.1,a1,2,512,600,593,0.9883333333333333,-72.41601666666666,-72.50518333333333,0.08916666666666674,80.98,31.39,874.0
2x2,0.1,a1,3,512,600,594,0.99,-74.58841666666667,-74.71735000000001,0.12893333333333332,79.73,30.44,884.0
2x2,0.1,a1,4,512,600,594,0.99,-74.18826666666666,-74.21396666666666,0.025700000000000025,80.14,31.22,882.0
2x2,0.1,a1,5,512,600,595,0.9916666666666667,-74.28945,-74.31228333333334,0.022833333333333313,80.32,31.1,873.0
2x2,0.1,a1,6,512,600,595,0.9916666666666667,-75.24248333333333,-75.32381666666667,0.08133333333333338,81.07,31.21,871.0
2x2,0.1,a1,7,512,600,595,0.9916666666666667,-74.84026666666668,-74.8929,0.05263333333333339,80.45,31.35,872.0
2x2,0.1,a1,8,512,600,596,0.9933333333333333,-74.24596666666667,-74.26253333333332,0.016566666666666688,79.71,31.03,882.0
2x2,0.1,a1,9,512,600,593,0.9883333333333333,-74.4648,-74.51543333333333,0.050633333333333384,79.49,30.68,879.0
2x2,0.1,a1,10,512,600,594,0.99,-74.72806666666666,-74.75706666666666,0.028999999999999998,80.23,31.17,882.0
2x2,0.1,a1,11,512,600,596,0.9933333333333333,-74.42306666666667,-74.45803333333333,0.03496666666666665,79.94,30.74,876.0
2x2,0.1,a1,12,512,600,591,0.985,-74.28511666666667,-74.41948333333333,0.13436666666666666,80.43,31.3,885.0
2x2,0.1,a1,13,512,600,593,0.9883333333333333,-74.32455,-74.39438333333332,0.06983333333333339,80.18,31.35,883.0
2x2,0.1,a1,14,512,600,598,0.9966666666666667,-74.99295,-75.03961666666666,0.04666666666666669,80.45,30.82,872.0
2x2,0.1,a1,15,512,600,595,0.9916666666666667,-76.32346666666668,-76.33566666666667,0.012199999999999964,82.04,31.39,877.0
2x2,0.1,a1,16,512,600,595,0.9916666666666667,-75.36066666666667,-75.37356666666666,0.01289999999999998,79.7,30.85,879.0
2x2,0.1,a1,17,512,600,591,0.985,-74.84343333333332,-74.97573333333334,0.1323,80.99,31.51,870.0
2x2,0.1,a1,18,512,600,595,0.9916666666666667,-74.87286666666667,-74.89403333333333,0.021166666666666684,80.28,30.9,891.0
2x2,0.1,a1,19,512,600,596,0.9933333333333333,-75.33878333333332,-75.41491666666666,0.07613333333333334,79.65,30.92,876.0
2x2,0.1,a1,20,512,600,597,0.995,-74.75963333333333,-74.79023333333333,0.0306,79.47,30.74,881.0
2x2,0.2,a2,1,512,600,595,0.9916666666666667,-76.0663,-76.12513333333334,0.058833333333333376,80.35,30.65,911.0
2x2,0.2,a2,2,512,600,594,0.99,-77.17020000000001,-77.31366666666666,0.14346666666666666,81.15,30.79,899.0
2x2,0.2,a2,3,512,600,595,0.9916666666666667,-76.72526666666667,-76.7546,0.029333333333333336,80.33,30.55,920.0
2x2,0.2,a2,4,512,600,594,0.99,-75.95103333333334,-76.02713333333332,0.07610000000000001,80.11,30.23,912.0
2x2,0.2,a2,5,512,600,594,0.99,-75.46405,-75.55664999999999,0.0926,80.18,30.54,910.0
2x2,0.2,a2,6,512,600,598,0.9966666666666667,-77.95316666666668,-78.01546666666667,0.06230000000000005,81.86,31.3,887.0
2x2,0.2,a2,7,512,600,591,0.985,-74.62786666666666,-74.7149,0.08703333333333338,81.43,31.02,898.0
2x2,0.2,a2,8,512,600,593,0.9883333333333333,-77.43419999999999,-77.51383333333334,0.07963333333333339,80.82,30.28,908.0
2x2,0.2,a2,9,512,600,594,0.99,-75.69455,-75.84185000000001,0.14730000000000004,79.76,30.3,912.0
2x2,0.2,a2,10,512,600,596,0.9933333333333333,-75.73021666666666,-75.77378333333333,0.04356666666666671,80.96,31.08,899.0
2x2,0.2,a2,11,512,600,594,0.99,-74.58935,-74.64914999999999,0.05980000000000003,80.09,30.44,904.0
2x2,0.2,a2,12,512,600,593,0.9883333333333333,-76.40895,-76.49485,0.08590000000000006,79.65,30.35,917.0
2x2,0.2,a2,13,512,600,598,0.9966666666666667,-75.80291666666666,-75.81945,0.016533333333333337,80.54,30.57,906.0
2x2,0.2,a2,14,512,600,592,0.9866666666666667,-76.5878,-76.65646666666666,0.06866666666666674,80.41,30.75,909.0
2x2,0.2,a2,15,512,600,592,0.9866666666666667,-75.47941666666667,-75.57878333333333,0.09936666666666663,80.41,30.41,912.0
2x2,0.2,a2,16,512,600,596,0.9933333333333333,-76.55573333333334,-76.62706666666666,0.07133333333333335,80.87,30.87,900.0
2x2,0.2,a2,17,512,600,595,0.9916666666666667,-75.35950000000001,-75.4377,0.07820000000000006,80.04,30.56,919.0
2x2,0.2,a2,18,512,600,595,0.9916666666666667,-76.54755,-76.64225,0.0947,79.91,30.27,912.0
2x2,0.2,a2,19,512,600,587,0.9783333333333334,-76.45188333333333,-76.69875,0.24686666666666673,80.18,30.1,919.0
2x2,0.2,a2,20,512,600,596,0.9933333333333333,-76.61321666666667,-76.66068333333334,0.0474666666666667,80.57,30.99,910.0
2x2,0.3,a3,1,512,600,593,0.9883333333333333,-83.36878333333333,-83.42935,0.06056666666666665,83.44,29.93,912.0
2x2,0.3,a3,2,512,600,597,0.995,-84.50938333333333,-84.54131666666667,0.03193333333333335,82.73,30.08,929.0
2x2,0.3,a3,3,512,600,597,0.995,-79.66026666666666,-79.75143333333334,0.09116666666666669,82.71,30.95,937.0
2x2,0.3,a3,4,512,600,593,0.9883333333333333,-84.84976666666667,-85.00266666666667,0.15290000000000004,82.8,30.2,935.0
2x2,0.3,a3,5,512,600,598,0.9966666666666667,-84.09086666666666,-84.10573333333333,0.014866666666666669,82.62,30.59,925.0
2x2,0.3,a3,6,512,600,594,0.99,-84.41065,-84.56938333333333,0.15873333333333334,82.73,30.08,929.0
2x2,0.3,a3,7,512,600,594,0.99,-81.6397,-81.7141,0.07440000000000002,82.08,30.55,938.0
2x2,0.3,a3,8,512,600,596,0.9933333333333333,-85.14796666666666,-85.19303333333333,0.04506666666666668,83.64,30.55,924.0
2x2,0.3,a3,9,512,600,591,0.985,-81.98451666666666,-82.12528333333333,0.1407666666666666,82.44,30.47,942.0
2x2,0.3,a3,10,512,600,593,0.9883333333333333,-83.43258333333334,-83.55275,0.12016666666666662,83.44,29.93,912.0
2x2,0.3,a3,11,512,600,594,0.99,-78.348,-78.52353333333333,0.17553333333333332,81.28,30.12,928.0
2x2,0.3,a3,12,512,600,595,0.9916666666666667,-79.64398333333334,-79.67835000000001,0.0343666666666667,82.44,30.98,932.0
2x2,0.3,a3,13,512,600,595,0.9916666666666667,-83.23960000000001,-83.35050000000001,0.11089999999999998,83.19,30.02,914.0
2x2,0.3,a3,14,512,600,590,0.9833333333333333,-78.35015,-78.42681666666667,0.07666666666666676,81.46,30.03,924.0
2x2,0.3,a3,15,512,600,595,0.9916666666666667,-84.71621666666667,-84.78961666666666,0.0734,82.73,30.08,929.0
2x2,0.3,a3,16,512,600,596,0.9933333333333333,-84.2301,-84.27976666666667,0.04966666666666664,83.12,29.93,921.0
2x2,0.3,a3,17,512,600,593,0.9883333333333333,-83.24898333333333,-83.30558333333333,0.05659999999999996,83.44,29.93,912.0
2x2,0.3,a3,18,512,600,595,0.9916666666666667,-78.54625,-78.60485,0.05859999999999999,82.25,30.19,925.0
2x2,0.3,a3,19,512,600,596,0.9933333333333333,-85.16083333333333,-85.20433333333334,0.04349999999999999,83.64,30.55,924.0
2x2,0.3,a3,20,512,600,595,0.9916666666666667,-83.99696666666667,-84.12346666666667,0.12650000000000003,82.62,30.59,925.0
2x2,0.4,a4,1,512,600,593,0.9883333333333333,-88.48758333333333,-88.61618333333332,0.1286,85.5,30.12,995.0
2x2,0.4,a4,2,512,600,591,0.985,-88.35061666666667,-88.52705,0.1764333333333333,85.5,30.12,995.0
2x2,0.4,a4,3,512,600,595,0.9916666666666667,-87.6828,-87.73596666666667,0.053166666666666716,86.23,30.26,983.0
2x2,0.4,a4,4,512,600,599,0.9983333333333333,-87.42001666666667,-87.43001666666667,0.01,85.75,29.92,990.0
2x2,0.4,a4,5,512,600,596,0.9933333333333333,-87.53426666666667,-87.70580000000001,0.17153333333333334,86.23,30.26,983.0
2x2,0.4,a4,6,512,600,597,0.995,-86.82628333333332,-86.87785,0.05156666666666666,85.96,30.36,971.0
2x2,0.4,a4,7,512,600,594,0.99,-88.07218333333333,-88.26858333333334,0.19639999999999994,85.56,30.05,983.0
2x2,0.4,a4,8,512,600,591,0.985,-88.39565,-88.52575,0.13009999999999997,85.5,30.12,995.0
2x2,0.4,a4,9,512,600,593,0.9883333333333333,-88.02271666666667,-88.20591666666667,0.18319999999999992,85.5,30.12,995.0
2x2,0.4,a4,10,512,600,599,0.9983333333333333,-87.37518333333334,-87.38138333333333,0.006199999999999998,85.75,29.92,990.0
2x2,0.4,a4,11,512,600,593,0.9883333333333333,-88.18471666666667,-88.26604999999999,0.08133333333333329,84.28,29.78,992.0
2x2,0.4,a4,12,512,600,596,0.9933333333333333,-87.48871666666668,-87.52275,0.03403333333333331,85.75,29.92,990.0
2x2,0.4,a4,13,512,600,597,0.995,-87.51474999999999,-87.56705000000001,0.05229999999999999,85.75,29.92,990.0
2x2,0.4,a4,14,512,600,595,0.9916666666666667,-87.73233333333333,-87.85289999999999,0.12056666666666672,86.23,30.26,983.0
2x2,0.4,a4,15,512,600,596,0.9933333333333333,-88.09805,-88.16651666666667,0.06846666666666663,85.5,30.12,995.0
2x2,0.4,a4,16,512,600,592,0.9866666666666667,-88.10861666666666,-88.25878333333333,0.15016666666666662,85.5,30.12,995.0
2x2,0.4,a4,17,512,600,598,0.9966666666666667,-87.30851666666666,-87.41841666666667,0.1099,85.75,29.92,990.0
2x2,0.4,a4,18,512,600,597,0.995,-87.51935,-87.54918333333333,0.02983333333333332,85.75,29.92,990.0
2x2,0.4,a4,19,512,600,596,0.9933333333333333,-88.37785,-88.45085,0.07299999999999997,85.5,30.12,995.0
2x2,0.4,a4,20,512,600,595,0.9916666666666667,-87.40445,-87.50148333333333,0.09703333333333336,85.75,29.92,990.0
2x2,0.5,a5,1,512,600,597,0.995,-89.75608333333334,-89.84371666666667,0.08763333333333331,87.36,29.8,1026.0
2x2,0.5,a5,2,512,600,595,0.9916666666666667,-89.28983333333333,-89.37509999999999,0.08526666666666667,87.37,29.81,1026.0
2x2,0.5,a5,3,512,600,599,0.9983333333333333,-89.5045,-89.50843333333333,0.003933333333333356,87.37,29.81,1026.0
2x2,0.5,a5,4,512,600,598,0.9966666666666667,-89.5344,-89.54176666666666,0.007366666666666693,87.37,29.81,1026.0
2x2,0.5,a5,5,512,600,599,0.9983333333333333,-89.50733333333334,-89.50843333333333,0.0010999999999999942,87.37,29.81,1026.0
2x2,0.5,a5,6,512,600,595,0.9916666666666667,-89.562,-89.61613333333334,0.05413333333333334,87.37,29.81,1026.0
2x2,0.5,a5,7,512,600,592,0.9866666666666667,-89.38353333333333,-89.57043333333334,0.18689999999999998,87.37,29.81,1026.0
2x2,0.5,a5,8,512,600,596,0.9933333333333333,-89.45933333333333,-89.5655,0.1061666666666667,87.37,29.81,1026.0
2x2,0.5,a5,9,512,600,597,0.995,-89.66033333333333,-89.67800000000001,0.01766666666666668,87.37,29.81,1026.0
2x2,0.5,a5,10,512,600,593,0.9883333333333333,-92.26371666666667,-92.45488333333333,0.19116666666666673,91.8,32.21,1003.0
2x2,0.5,a5,11,512,600,595,0.9916666666666667,-89.36370000000001,-89.37606666666666,0.012366666666666692,87.37,29.81,1026.0
2x2,0.5,a5,12,512,600,598,0.9966666666666667,-89.279,-89.3465,0.0675,87.37,29.81,1026.0
2x2,0.5,a5,13,512,600,596,0.9933333333333333,-89.3756,-89.54006666666668,0.16446666666666668,87.37,29.81,1026.0
2x2,0.5,a5,14,512,600,599,0.9983333333333333,-89.43599999999999,-89.44176666666667,0.005766666666666656,87.37,29.81,1026.0
2x2,0.5,a5,15,512,600,597,0.995,-89.5689,-89.57509999999999,0.006200000000000046,87.37,29.81,1026.0
2x2,0.5,a5,16,512,600,597,0.995,-89.60691666666666,-89.69788333333334,0.09096666666666668,87.36,29.8,1026.0
2x2,0.5,a5,17,512,600,596,0.9933333333333333,-89.56971666666666,-89.66461666666666,0.09490000000000003,87.36,29.8,1026.0
2x2,0.5,a5,18,512,600,594,0.99,-89.40033333333332,-89.48856666666667,0.08823333333333334,87.37,29.81,1026.0
2x2,0.5,a5,19,512,600,597,0.995,-89.57376666666667,-89.5876,0.01383333333333333,87.37,29.81,1026.0
2x2,0.5,a5,20,512,600,593,0.9883333333333333,-89.67914999999999,-89.79228333333334,0.11313333333333339,87.36,29.8,1026.0
2x2,0.6,a6,1,512,600,599,0.9983333333333333,-93.6144,-93.63526666666667,0.020866666666666672,101.61,37.97,913.0
2x2,0.6,a6,2,512,600,598,0.9966666666666667,-93.7194,-93.7403,0.020899999999999988,101.61,37.97,913.0
2x2,0.6,a6,3,512,600,598,0.9966666666666667,-93.7194,-93.7403,0.020899999999999988,101.61,37.97,913.0
2x2,0.6,a6,4,512,600,595,0.9916666666666667,-90.97578333333334,-91.12498333333333,0.1491999999999999,103.44,38.69,890.0
2x2,0.6,a6,5,512,600,598,0.9966666666666667,-93.73173333333334,-93.763,0.03126666666666667,101.61,37.97,913.0
2x2,0.6,a6,6,512,600,593,0.9883333333333333,-92.60621666666667,-92.78728333333333,0.18106666666666665,102.34,38.04,897.0
