table,grid,condition,item,metric,value,n,ci_low,ci_high,standard_deviation,minimum,maximum,qaoa_mean,exact_global,hedges_g,median,level,rank
1,2x2,alpha=0.5,Fixed-Time,average_travel_time,102.91,1,,,,,,,,,,,
1,2x2,alpha=0.5,Fixed-Time,average_waiting_time,44.2,1,,,,,,,,,,,
1,2x2,alpha=0.5,Fixed-Time,throughput,887.0,1,,,,,,,,,,,
1,2x2,alpha=0.5,Classical Local,average_travel_time,99.41,1,,,,,,,,,,,
1,2x2,alpha=0.5,Classical Local,average_waiting_time,32.65,1,,,,,,,,,,,
1,2x2,alpha=0.5,Classical Local,throughput,889.0,1,,,,,,,,,,,
1,2x2,alpha=0.5,Classical Global,average_travel_time,87.49,1,,,,,,,,,,,
1,2x2,alpha=0.5,Classical Global,average_waiting_time,30.61,1,,,,,,,,,,,
1,2x2,alpha=0.5,Classical Global,throughput,1028.0,1,,,,,,,,,,,
1,2x2,alpha=0.5,Max-Pressure,average_travel_time,89.31,1,,,,,,,,,,,
1,2x2,alpha=0.5,Max-Pressure,average_waiting_time,30.85,1,,,,,,,,,,,
1,2x2,alpha=0.5,Max-Pressure,throughput,1043.0,1,,,,,,,,,,,
1,2x2,alpha=0.5,SCOOT,average_travel_time,105.36,1,,,,,,,,,,,
1,2x2,alpha=0.5,SCOOT,average_waiting_time,44.54,1,,,,,,,,,,,
1,2x2,alpha=0.5,SCOOT,throughput,863.0,1,,,,,,,,,,,
1,2x2,alpha=0.5,PressLight,average_travel_time,103.03,1,,,,,,,,,,,
1,2x2,alpha=0.5,PressLight,average_waiting_time,36.34,1,,,,,,,,,,,
1,2x2,alpha=0.5,PressLight,throughput,768.0,1,,,,,,,,,,,
1,2x2,alpha=0.5,MPLight,average_travel_time,99.18,1,,,,,,,,,,,
1,2x2,alpha=0.5,MPLight,average_waiting_time,34.4,1,,,,,,,,,,,
1,2x2,alpha=0.5,MPLight,throughput,807.0,1,,,,,,,,,,,
1,2x2,alpha=0.5,CoLight,average_travel_time,91.03,1,,,,,,,,,,,
1,2x2,alpha=0.5,CoLight,average_waiting_time,30.82,1,,,,,,,,,,,
1,2x2,alpha=0.5,CoLight,throughput,930.0,1,,,,,,,,,,,
1,2x2,alpha=0.5,QAOA,average_travel_time,87.58949999999999,20,87.3665,88.03349999999999,,,,,,,,,
1,2x2,alpha=0.5,QAOA,average_waiting_time,29.92799999999999,20,29.806499999999993,30.168999999999993,,,,,,,,,
1,2x2,alpha=0.5,QAOA,throughput,1024.85,20,1022.55,1026.0,,,,,,,,,
1,2x2,alpha=0.7,Fixed-Time,average_travel_time,104.29,1,,,,,,,,,,,
1,2x2,alpha=0.7,Fixed-Time,average_waiting_time,46.47,1,,,,,,,,,,,
1,2x2,alpha=0.7,Fixed-Time,throughput,826.0,1,,,,,,,,,,,
1,2x2,alpha=0.7,Classical Local,average_travel_time,97.47,1,,,,,,,,,,,
