network,controller,metric,value,standard_deviation,qaoa_runs
2x2,Fixed-Time,average_travel_time,77,,
2x2,Fixed-Time,average_waiting_time,34.4,,
2x2,Fixed-Time,throughput,63111,,
2x2,Classical Local,average_travel_time,54.68,,
2x2,Classical Local,average_waiting_time,20.15,,
2x2,Classical Local,throughput,63143,,
2x2,Classical Global,average_travel_time,55.67,,
2x2,Classical Global,average_waiting_time,20.19,,
2x2,Classical Global,throughput,63185,,
2x2,QAOA,average_travel_time,53.9915,0.6681654,20
2x2,QAOA,average_waiting_time,18.809,0.40327475,20
2x2,QAOA,throughput,63158.2,32.289154,20
2x2,CoLight,average_travel_time,52.16,,
2x2,CoLight,average_waiting_time,17.34,,
2x2,CoLight,throughput,63139,,
2x2,MPLight,average_travel_time,54.09,,
2x2,MPLight,average_waiting_time,19.39,,
2x2,MPLight,throughput,63148,,
2x2,PressLight,average_travel_time,63.07,,
2x2,PressLight,average_waiting_time,26.83,,
2x2,PressLight,throughput,63233,,
2x2,Max-Pressure,average_travel_time,52.62,,
2x2,Max-Pressure,average_waiting_time,16.58,,
2x2,Max-Pressure,throughput,63197,,
2x2,SCOOT,average_travel_time,67.01,,
2x2,SCOOT,average_waiting_time,28.54,,
2x2,SCOOT,throughput,63068,,
3x3,Fixed-Time,average_travel_time,193.46,,
3x3,Fixed-Time,average_waiting_time,54.04,,
3x3,Fixed-Time,throughput,85529,,
3x3,Classical Local,average_travel_time,95.47,,
3x3,Classical Local,average_waiting_time,31.68,,
3x3,Classical Local,throughput,96617,,
3x3,Classical Global,average_travel_time,94.45,,
3x3,Classical Global,average_waiting_time,30.18,,
3x3,Classical Global,throughput,95627,,
3x3,QAOA,average_travel_time,92.9595,0.70535154,20
3x3,QAOA,average_waiting_time,28.395,0.40176584,20
3x3,QAOA,throughput,95594.35,178.79223,20
3x3,CoLight,average_travel_time,90.76,,
3x3,CoLight,average_waiting_time,27.88,,
3x3,CoLight,throughput,95761,,
3x3,MPLight,average_travel_time,95.02,,
3x3,MPLight,average_waiting_time,30.65,,
3x3,MPLight,throughput,96316,,
3x3,PressLight,average_travel_time,110.56,,
3x3,PressLight,average_waiting_time,37.85,,
3x3,PressLight,throughput,97261,,
3x3,Max-Pressure,average_travel_time,93.66,,
3x3,Max-Pressure,average_waiting_time,29.24,,
3x3,Max-Pressure,throughput,96645,,
3x3,SCOOT,average_travel_time,140.77,,
3x3,SCOOT,average_waiting_time,46.28,,
3x3,SCOOT,throughput,97809,,
