hour,runs_with_energy_data,num_decisions_mean,num_decisions_standard_deviation,num_decisions_min,num_decisions_max,num_decisions_count,optimal_hits_mean,optimal_hits_standard_deviation,optimal_hits_min,optimal_hits_max,optimal_hits_count,optimum_recovery_rate_mean,optimum_recovery_rate_standard_deviation,optimum_recovery_rate_min,optimum_recovery_rate_max,optimum_recovery_rate_count,average_selected_energy_mean,average_selected_energy_standard_deviation,average_selected_energy_min,average_selected_energy_max,average_selected_energy_count,average_exact_min_energy_mean,average_exact_min_energy_standard_deviation,average_exact_min_energy_min,average_exact_min_energy_max,average_exact_min_energy_count,average_optimality_gap_mean,average_optimality_gap_standard_deviation,average_optimality_gap_min,average_optimality_gap_max,average_optimality_gap_count,maximum_optimality_gap_mean,maximum_optimality_gap_standard_deviation,maximum_optimality_gap_min,maximum_optimality_gap_max,maximum_optimality_gap_count,average_energy_reduction_mean,average_energy_reduction_standard_deviation,average_energy_reduction_min,average_energy_reduction_max,average_energy_reduction_count
0,20,2700,0.0,2700,2700,20,2549.95,121.39300031845242,2388,2700,20,0.9444259259259259,0.04496037048831573,0.8844444444444445,1.0,20,-37.30047537037037,0.8214445307441127,-38.87342592592593,-36.22385555555556,20,-38.14071388888889,0.6575147998029907,-39.29006666666667,-36.50752222222222,20,0.8402385185185186,0.7011541506499467,0.0,1.9068740740740742,20,23.8,15.693318725864804,0.0,40.0,20,-0.8346222222222223,0.6997313463239827,-1.903437037037037,0.006266666666666662,20
1,20,2700,0.0,2700,2700,20,2593.9,97.1720665948594,2400,2700,20,0.9607037037037037,0.035989654294392374,0.8888888888888888,1.0,20,-39.33102462962963,1.4904218020906366,-42.09492592592593,-36.71149259259259,20,-39.97699648148148,1.1343835771353208,-42.09492592592593,-37.12638888888889,20,0.6459718518518519,0.6101100043695481,0.0,1.9972592592592593,20,23.694,13.976089506537114,0.0,47.06,20,-0.644425925925926,0.6094499567560137,-1.9955407407407408,0.00019259259259259113,20
2,20,2700,0.0,2700,2700,20,2535.55,164.84776869010167,2272,2700,20,0.9390925925925926,0.061054729144482095,0.8414814814814815,1.0,20,-40.5702062962963,2.358063028228612,-43.925577777777775,-36.33508148148148,20,-41.693657037037035,1.4080779052890575,-43.925577777777775,-38.93664444444445,20,1.1234507407407408,1.1688327080935086,0.0,3.0961851851851856,20,24.894,19.236519107375457,0.0,48.0,20,-1.1232755555555556,1.1688563022572735,-3.0961851851851856,0.0,20
3,20,2700,0.0,2700,2700,20,2593.3,135.0259624158102,2339,2700,20,0.9604814814814815,0.05000961570955932,0.8662962962962963,1.0,20,-41.515964814814815,2.4358992572055973,-45.1085,-37.05497777777778,20,-42.255354814814815,1.8171818869558067,-45.1085,-39.475996296296294,20,0.73939,0.9857293850151876,0.0,2.644851851851852,20,21.312,18.68464317364171,0.0,48.0,20,-0.7393388888888889,0.9857472697913447,-2.644851851851852,0.0,20
4,20,2700,0.0,2700,2700,20,2586.15,119.59769184535645,2391,2700,20,0.9578333333333333,0.0442954414242061,0.8855555555555555,1.0,20,-40.30065759259259,1.8824698124015822,-42.85508888888889,-37.42892962962963,20,-41.032660185185186,1.3820055089675503,-42.85508888888889,-37.706825925925926,20,0.7320025925925926,0.7926607925924867,0.0,2.0530814814814815,20,22.988,16.258092592209028,0.0,48.0,20,-0.7316566666666666,0.7924853862030911,-2.05242962962963,0.0,20
5,20,2700,0.0,2700,2700,20,2585.75,116.9272715926668,2410,2699,20,0.9576851851851852,0.04330639688617289,0.8925925925925926,0.9996296296296296,20,-35.41375444444444,1.045396253086811,-37.140188888888886,-33.895259259259255,20,-35.956460740740745,1.5900997174547173,-38.65975925925926,-33.8982,20,0.5427062962962963,0.5843078476407159,0.00294074074074074,1.5195703703703705,20,24.95,14.72575902788608,6.939999999999998,47.75999999999999,20,-0.5241070370370371,0.5833983867063574,-1.5009555555555556,0.013466666666666651,20
6,20,2700,0.0,2700,2700,20,2572.85,101.05458399977915,2443,2691,20,0.9529074074074074,0.037427623703621904,0.9048148148148148,0.9966666666666667,20,-42.602017592592595,0.625273481086122,-43.7161037037037,-41.67333333333333,20,-43.147671296296295,0.9579805631808775,-44.72428148148148,-41.81811851851852,20,0.5456537037037037,0.4979740045207166,0.017540740740740753,1.3761037037037036,20,34.22,14.716225202494225,14.939999999999998,51.64,20,-0.4205785185185187,0.5027151781786947,-1.272940740740741,0.11622222222222207,20
7,20,2700,0.0,2700,2700,20,2606.1,63.415837304672024,2447,2650,20,0.9652222222222222,0.023487347149878525,0.9062962962962963,0.9814814814814815,20,-53.96952537037037,0.44111730061350923,-54.85031111111111,-53.33814444444444,20,-54.360234999999996,0.7959279352975986,-56.19432962962963,-53.56718888888889,20,0.3907096296296297,0.40920620775183514,0.15068148148148153,1.4237333333333335,20,34.861,11.902510084674972,20.240000000000002,58.24000000000001,20,-0.12011370370370399,0.4009167691585199,-1.1275777777777782,0.1304444444444442,20
8,20,2700,0.0,2700,2700,20,2595.5,78.04148694259052,2453,2690,20,0.9612962962962963,0.02890425442318167,0.9085185185185185,0.9962962962962963,20,-57.602612037037034,0.5632836072264652,-58.70792592592592,-56.777922222222216,20,-58.11062685185185,0.9563770968441007,-59.92266666666666,-56.817396296296295,20,0.5080148148148148,0.4922527379760386,0.020281481481481477,1.484651851851852,20,37.535000000000004,15.76185118035248,17.0,74.64,20,-0.17780555555555583,0.48383585557246084,-1.165940740740741,0.3450444444444442,20
9,20,2700,0.0,2700,2700,20,2550.4,96.31549036479296,2429,2684,20,0.9445925925925927,0.035672403838812206,0.8996296296296297,0.9940740740740741,20,-54.21448018518518,0.6048080958448488,-55.431251851851854,-53.07776666666667,20,-54.94529981481482,1.0427070258567137,-56.44029629629629,-53.35896666666666,20,0.7308196296296297,0.530828542378472,0.056148148148148155,1.3971333333333333,20,44.346,16.684751437354876,16.0,68.69999999999999,20,-0.44673777777777807,0.5256752155710642,-1.1265703703703707,0.25424444444444416,20
10,20,2700,0.0,2700,2700,20,2588.9,78.77609843226895,2444,2677,20,0.9588518518518518,0.029176332752692206,0.9051851851851852,0.9914814814814815,20,-52.452215,0.2842611722395342,-53.22047777777778,-51.939299999999996,20,-52.91264018518518,0.6445817282493033,-54.48132962962963,-52.15622592592592,20,0.4604251851851852,0.43979947708822076,0.05728148148148148,1.260851851851852,20,34.917,13.135461484890913,16.0,61.12,20,-0.2052233333333336,0.4348324527957082,-0.9999407407407409,0.22219259259259236,20
11,20,2700,0.0,2700,2700,20,2556.4,101.54770722229657,2442,2686,20,0.9468148148148148,0.03761026193418391,0.9044444444444445,0.9948148148148148,20,-54.454188333333335,0.5464250889094724,-55.516211111111105,-53.567840740740735,20,-55.187793148148145,1.041275321599013,-56.77152222222222,-53.63562592592593,20,0.7336048148148149,0.5901430314116984,0.03791111111111111,1.4685629629629628,20,42.88399999999999,16.686065538583225,16.119999999999994,64.94,20,-0.44346444444444466,0.5839434910551278,-1.1839111111111114,0.2621333333333331,20
12,20,2700,0.0,2700,2700,20,2528.7,89.47513621112851,2438,2682,20,0.9365555555555556,0.03313893933745499,0.902962962962963,0.9933333333333333,20,-56.663660925925925,0.5495260403996227,-57.6279111111111,-55.57614074074073,20,-57.5633887037037,0.9941416017468748,-59.03752592592593,-55.635,20,0.8997277777777778,0.536329771282896,0.058859259259259264,1.4396518518518517,20,46.458,13.345294301737967,24.12000000000001,62.819999999999986,20,-0.5718011111111113,0.5247330945730196,-1.1036000000000004,0.25633333333333314,20
13,20,2700,0.0,2700,2700,20,2527.1,95.38669221978283,2428,2687,20,0.935962962962963,0.03532840452584548,0.8992592592592593,0.9951851851851852,20,-57.055906111111106,0.6224455356870945,-58.131055555555555,-56.2810037037037,20,-57.98987388888889,1.0457480882747778,-59.530796296296295,-56.374885185185185,20,0.9339677777777777,0.5735615182077022,0.044585185185185186,1.5565777777777778,20,47.705,12.499859157101268,25.879999999999995,63.699999999999996,20,-0.5893822222222225,0.5556142978659468,-1.2033925925925928,0.2660370370370368,20
14,20,2700,0.0,2700,2700,20,2552.5,97.19946935094482,2427,2683,20,0.9453703703703704,0.0359998034633129,0.8988888888888888,0.9937037037037038,20,-59.3555337037037,0.6630062465619345,-60.20205555555555,-57.81928148148148,20,-60.16580962962963,1.1470654450842503,-61.650062962962956,-58.044862962962966,20,0.8102759259259259,0.614073184676049,0.04698518518518519,1.6052296296296296,20,46.99999999999999,13.496491551900673,24.0,72.51999999999998,20,-0.43269148148148173,0.599532878763425,-1.1859703703703706,0.32939999999999975,20
15,20,2700,0.0,2700,2700,20,2591.5,75.32421152660852,2433,2681,20,0.9598148148148148,0.027897856120966125,0.9011111111111111,0.9929629629629629,20,-63.73740148148148,0.4981640019208132,-64.49392222222222,-62.671577777777784,20,-64.30655037037037,0.8345563345758511,-65.70543333333333,-62.91040740740741,20,0.5691488888888889,0.564341953375958,0.10091851851851852,1.7223185185185186,20,43.787,12.318640176150678,26.240000000000002,62.82000000000001,20,-0.13562962962962988,0.5339166793134159,-1.2484444444444447,0.3411333333333331,20
16,20,2700,0.0,2700,2700,20,2593.5,87.17043197395729,2449,2681,20,0.9605555555555556,0.03228534517553974,0.9070370370370371,0.9929629629629629,20,-73.51843351851852,1.7690051470796118,-77.44954444444444,-70.5915074074074,20,-74.14120685185185,1.8620893445358153,-77.87726296296296,-70.94049259259259,20,0.6227733333333333,0.6221614883633376,0.06509629629629629,1.6913407407407408,20,56.351,13.273620019461633,22.299999999999997,78.06,20,-0.04779777777777802,0.5718532231199913,-1.029540740740741,0.5058888888888886,20
17,20,2700,0.0,2700,2700,20,2575.9,91.96847285890965,2424,2655,20,0.954037037037037,0.034062397355151715,0.8977777777777778,0.9833333333333333,20,-79.46585203703704,1.0202631800937847,-81.65372592592593,-77.74072222222222,20,-80.34073203703704,1.1463779035683317,-82.04662592592592,-78.24212222222222,20,0.87488,0.7692016226186189,0.16491851851851852,2.483911111111111,20,66.226,10.790278470627355,42.75999999999999,99.57999999999998,20,-0.19978370370370394,0.6610878576221829,-1.4288814814814816,0.3970370370370367,20
