run,hour,gamma,beta,p,wins,calibration_decisions
1,0,0.698131700798,0.872664625997,1,7,25
1,1,2.443460952792,0.523598775598,2,6,25
1,2,0.698131700798,1.221730476396,2,6,25
1,3,2.443460952792,0.872664625997,1,5,25
1,4,2.443460952792,0.872664625997,1,7,25
1,5,0.698131700798,1.221730476396,2,9,25
1,6,2.443460952792,0.698131700798,1,3,25
1,7,2.443460952792,0.698131700798,1,5,25
1,8,0.698131700798,1.221730476396,2,5,25
1,9,3.14159265359,0.872664625997,1,4,25
1,10,2.443460952792,0.698131700798,1,3,25
1,11,3.14159265359,0.698131700798,1,4,25
1,12,3.14159265359,0.523598775598,2,9,25
1,13,0.698131700798,0.698131700798,1,5,25
1,14,3.14159265359,0.872664625997,1,4,25
1,15,0.698131700798,0.698131700798,1,4,25
1,16,3.14159265359,0.872664625997,1,5,25
1,17,3.14159265359,0.872664625997,1,8,25
1,18,3.14159265359,0.523598775598,2,4,25
1,19,2.443460952792,0.698131700798,1,6,25
1,20,2.443460952792,0.872664625997,1,4,25
1,21,3.14159265359,0.872664625997,1,4,25
1,22,0.698131700798,0.698131700798,1,5,25
1,23,3.14159265359,0.523598775598,2,6,25
