hour,num_decisions_mean,num_decisions_standard_deviation,num_decisions_median,num_decisions_min,num_decisions_max,num_decisions_count,optimal_hits_mean,optimal_hits_standard_deviation,optimal_hits_median,optimal_hits_min,optimal_hits_max,optimal_hits_count,optimum_recovery_rate_mean,optimum_recovery_rate_standard_deviation,optimum_recovery_rate_median,optimum_recovery_rate_min,optimum_recovery_rate_max,optimum_recovery_rate_count,average_selected_energy_mean,average_selected_energy_standard_deviation,average_selected_energy_median,average_selected_energy_min,average_selected_energy_max,average_selected_energy_count,average_exact_min_energy_mean,average_exact_min_energy_standard_deviation,average_exact_min_energy_median,average_exact_min_energy_min,average_exact_min_energy_max,average_exact_min_energy_count,average_optimality_gap_mean,average_optimality_gap_standard_deviation,average_optimality_gap_median,average_optimality_gap_min,average_optimality_gap_max,average_optimality_gap_count,maximum_optimality_gap_mean,maximum_optimality_gap_standard_deviation,maximum_optimality_gap_median,maximum_optimality_gap_min,maximum_optimality_gap_max,maximum_optimality_gap_count,average_energy_reduction_mean,average_energy_reduction_standard_deviation,average_energy_reduction_median,average_energy_reduction_min,average_energy_reduction_max,average_energy_reduction_count
0,2700,0.0,2700,2700,2700,3,1954.3333333333333,1157.3116837452792,2617,618,2628,3,0.7238271604938272,0.42863395694269607,0.9692592592592593,0.2288888888888889,0.9733333333333334,3,-90.13728395061729,10.432455849583851,-95.87545925925927,-96.44104444444444,-78.09534814814815,3,-97.58853580246914,1.826734846138833,-96.80925925925926,-99.67567407407408,-96.28067407407407,3,7.451251851851852,12.236151065306611,0.40521481481481486,0.36821481481481483,21.580325925925926,3,50.72666666666667,27.92255241437167,37.36,32.0,82.82,3,-7.436651851851852,12.23810126881347,-0.38951851851851854,-21.567977777777777,-0.3524592592592593,3
1,2700,0.0,2700,2700,2700,3,1222.3333333333333,1256.038348671462,536,459,2672,3,0.45271604938271603,0.46519938839683783,0.1985185185185185,0.17,0.9896296296296296,3,-83.88278271604938,15.822712723872144,-76.0903925925926,-102.0904148148148,-73.46754074074074,3,-100.13240740740741,1.8573152078294501,-99.27020740740741,-102.26411851851852,-98.8628962962963,3,16.249624691358026,14.004352844616086,22.772503703703705,0.1737037037037037,25.802666666666667,3,67.0,37.469987990390386,79.0,25.0,97.0,3,-16.246081481481482,14.001196176888019,-22.76817037037037,-25.79637037037037,-0.1737037037037037,3
2,2700,0.0,2700,2700,2700,3,1906,1336.2780399303133,2676,363,2679,3,0.705925925925926,0.4949177925667827,0.9911111111111112,0.13444444444444445,0.9922222222222222,3,-93.38626419753086,19.204369784075972,-103.7785037037037,-105.15507407407408,-71.2252148148148,3,-103.01402222222222,2.84823140828069,-103.92011851851852,-105.29897777777778,-99.82297037037037,3,9.627758024691358,16.428499811318694,0.1439037037037037,0.14161481481481483,28.597755555555555,3,54.0,27.184554438136374,47.0,31.0,84.0,3,-9.627758024691358,16.428499811318694,-0.1439037037037037,-28.597755555555555,-0.14161481481481483,3
3,2700,0.0,2700,2700,2700,3,2382.6666666666665,264.42831416724897,2231,2229,2688,3,0.8824691358024691,0.09793641265453663,0.8262962962962963,0.8255555555555556,0.9955555555555555,3,-102.55393209876543,3.2950837360805187,-102.06166296296296,-106.06745555555555,-99.53267777777778,3,-104.75928518518519,1.734514999031589,-105.30312222222221,-106.15671481481482,-102.81801851851853,3,2.2053530864197533,1.832722349433845,3.2414592592592593,0.08925925925925926,3.285340740740741,3,37.333333333333336,5.507570547286102,40.0,31.0,41.0,3,-2.2053530864197533,1.832722349433845,-3.2414592592592593,-3.285340740740741,-0.08925925925925926,3
4,2700,0.0,2700,2700,2700,3,2012.6666666666667,114.9144609408813,2058,1882,2098,3,0.7454320987654321,0.0425609114595857,0.7622222222222222,0.697037037037037,0.7770370370370371,3,-99.0625024691358,2.2843287338872034,-99.75424074074074,-100.9210111111111,-96.51225555555556,3,-103.87744320987655,1.3737779245466375,-104.11672222222224,-105.11586296296296,-102.39974444444444,3,4.814940740740741,0.9326277771728965,4.362481481481482,4.194851851851852,5.887488888888889,3,46.02,2.6346157215047508,45.06,44.0,49.0,3,-4.813817283950617,0.932175558105554,-4.361437037037037,-5.885859259259259,-4.194155555555556,3
5,2700,0.0,2700,2700,2700,3,2528.3333333333335,59.23118547972287,2560,2460,2565,3,0.9364197530864198,0.02193747610360107,0.9481481481481482,0.9111111111111111,0.95,3,-90.99152469135802,0.5427879083469385,-91.05280740740741,-91.50107037037037,-90.4206962962963,3,-91.81875185185186,0.9145879686281715,-91.70255555555555,-92.7858851851852,-90.96781481481482,3,0.8272271604938273,0.3995911113372226,0.6497481481481482,0.5471185185185186,1.284814814814815,3,40.98,5.594747536752665,40.0,35.94,47.0,3,-0.8016666666666669,0.4041374362515462,-0.6168222222222224,-1.2651703703703705,-0.5230074074074076,3
6,2700,0.0,2700,2700,2700,3,2192.6666666666665,418.81778058403074,2396,1711,2471,3,0.8120987654320988,0.15511769651260401,0.8874074074074074,0.6337037037037037,0.9151851851851852,3,-100.45728641975309,5.9044152888716495,-97.28452222222224,-107.26978518518519,-96.81755185185186,3,-102.71407901234568,8.280625672235196,-98.35207037037038,-112.26382962962961,-97.52633703703704,3,2.256792592592593,2.3773069829637667,1.0675481481481484,0.7087851851851853,4.994044444444445,3,48.02,7.992421410311152,43.75999999999999,43.06,57.24000000000001,3,-2.0913308641975314,2.4335098606957275,-0.8702962962962967,-4.893600000000001,-0.5100962962962967,3
7,2700,0.0,2700,2700,2700,3,1998.3333333333333,282.0395953289774,1837,1834,2324,3,0.7401234567901235,0.10445910938110271,0.6803703703703704,0.6792592592592592,0.8607407407407407,3,-128.26251728395061,6.205472876766485,-130.22339259259257,-133.25067407407408,-121.31348518518517,3,-131.40122839506174,7.743068940532369,-134.29377037037037,-137.2816222222222,-122.6282925925926,3,3.138711111111112,1.5796699700289456,4.030948148148149,1.3148074074074076,4.070377777777779,3,59.88666666666667,7.612524767337917,62.3,51.360000000000014,66.0,3,-2.7288197530864204,1.6571251912896525,-3.66168888888889,-3.7092370370370378,-0.815533333333334,3
8,2700,0.0,2700,2700,2700,3,1866,35.79106033634656,1850,1841,1907,3,0.6911111111111111,0.013255948272720959,0.6851851851851852,0.6818518518518518,0.7062962962962963,3,-143.01277160493825,0.40458828879977954,-143.22912222222223,-143.26318518518516,-142.5460074074074,3,-147.13616172839505,0.6398497515286903,-147.06617037037037,-147.80812962962963,-146.53418518518518,3,4.123390123456791,0.738777611386204,4.520162962962964,3.271000000000001,4.579007407407408,3,73.5,20.30242350065626,70.28,55.0,95.21999999999998,3,-3.563953086419754,0.686043971937065,-3.9230370370370378,-3.995925925925927,-2.772896296296297,3
9,2700,0.0,2700,2700,2700,3,1247.3333333333333,560.3439419975318,1270,676,1796,3,0.46197530864197534,0.20753479333241923,0.4703703703703704,0.25037037037037035,0.6651851851851852,3,-129.39813580246914,7.251307603056665,-130.56885925925926,-135.99285185185187,-121.63269629629629,3,-142.47808641975308,1.867110868375432,-142.94339259259257,-144.06854074074073,-140.42232592592592,3,13.07995061728395,9.023887944622883,12.374533333333332,4.429474074074075,22.435844444444445,3,112.30666666666666,32.72577781097545,130.87999999999997,74.52,131.52,3,-11.945101234567902,8.464492016530336,-10.986133333333333,-20.848237037037038,-4.000933333333334,3
10,2700,0.0,2700,2700,2700,3,1800.3333333333333,23.35237318418266,1805,1775,1821,3,0.6667901234567901,0.0086490271052528,0.6685185185185185,0.6574074074074074,0.6744444444444444,3,-126.50562098765431,0.35364829556962446,-126.6342222222222,-126.77697407407406,-126.10566666666666,3,-130.5816851851852,0.5094760361113615,-130.76925185185183,-130.9707888888889,-130.0050148148148,3,4.076064197530865,0.15583756312709127,4.1350296296296305,3.8993481481481487,4.193814814814816,3,61.39333333333334,15.080561439592795,58.360000000000014,48.06,77.75999999999999,3,-3.7877925925925937,0.16940366058464817,-3.857703703703705,-3.9110518518518527,-3.5946222222222235,3
11,2700,0.0,2700,2700,2700,3,1530.6666666666667,445.724503851127,1785,1016,1791,3,0.5669135802469136,0.16508314957449147,0.6611111111111111,0.3762962962962963,0.6633333333333333,3,-136.16717901234566,1.0626302544307042,-135.64059629629628,-137.39027037037036,-135.47067037037036,3,-146.36092469135804,8.702195703670656,-142.4722037037037,-156.3294111111111,-140.28115925925925,3,10.193745679012345,9.090009771477702,5.0819333333333345,4.810488888888889,20.688814814814812,3,132.91333333333333,65.07429087845163,98.27999999999997,92.47999999999999,207.98,3,-8.491553086419753,7.089566072985578,-4.495866666666667,-16.67711111111111,-4.3016814814814825,3
12,2700,0.0,2700,2700,2700,3,1808,14.933184523068078,1814,1791,1819,3,0.6696296296296296,0.0055308090826177965,0.6718518518518518,0.6633333333333333,0.6737037037037037,3,-138.40817654320986,0.6193905802892783,-138.51397777777777,-138.96785185185186,-137.74269999999999,3,-142.8397098765432,0.5404495462561407,-142.85666666666665,-143.37148148148148,-142.29098148148148,3,4.431533333333334,0.10559848977387906,4.403629629629631,4.3426888888888895,4.5482814814814825,3,77.70000000000002,14.727824007639413,72.42000000000002,66.34000000000003,94.34000000000002,3,-3.9555703703703715,0.14704107784353412,-3.965437037037038,-4.097429629629631,-3.8038444444444455,3
13,2700,0.0,2700,2700,2700,3,1801.3333333333333,21.594752448994022,1799,1781,1824,3,0.6671604938271605,0.007998056462590369,0.6662962962962963,0.6596296296296297,0.6755555555555556,3,-144.9090938271605,0.8596555940781224,-144.57094074074072,-145.8864074074074,-144.26993333333334,3,-149.69978765432097,0.48142543003274635,-149.7813259259259,-150.13523703703703,-149.1828,3,4.790693827160495,0.4922823616987403,4.912866666666668,4.24882962962963,5.210385185185186,3,90.86,24.5376771516784,86.46000000000001,68.82,117.3,3,-4.105061728395063,0.38616573372105434,-4.197333333333335,-4.4367333333333345,-3.6811185185185193,3
14,2700,0.0,2700,2700,2700,3,1414.3333333333333,656.9964484936987,1775,656,1812,3,0.5238271604938272,0.24333201796062917,0.6574074074074074,0.24296296296296296,0.6711111111111111,3,-151.53768024691357,6.750908797358418,-155.3242111111111,-155.54538148148146,-143.74344814814816,3,-163.92557901234568,4.471535977717106,-161.69744074074072,-169.07340370370372,-161.00589259259257,3,12.387898765432098,11.21743683925152,6.3732296296296305,5.460511111111112,25.329955555555554,3,132.0533333333333,30.273561622863816,144.16,97.6,154.39999999999998,3,-10.624434567901236,10.102418643450461,-5.105666666666668,-22.284170370370372,-4.483466666666668,3
15,2700,0.0,2700,2700,2700,3,1304,575.955727465228,1629,639,1644,3,0.482962962962963,0.21331693609823263,0.6033333333333334,0.23666666666666666,0.6088888888888889,3,-163.2312037037037,10.572108645333632,-168.12538148148147,-170.4694,-151.09882962962962,3,-178.1620234567901,1.5592041990645162,-178.01049629629628,-179.79145925925926,-176.68411481481482,3,14.93081975308642,10.382735005396297,9.32205925925926,8.558733333333334,26.911666666666665,3,139.51333333333335,11.1884642973615,141.68000000000004,127.40000000000002,149.45999999999998,3,-12.008577777777777,9.104866469060589,-6.87805925925926,-22.520970370370367,-6.626703703703704,3
16,2700,0.0,2700,2700,2700,3,951.3333333333334,465.3357211018012,706,660,1488,3,0.3523456790123457,0.1723465633710375,0.2614814814814815,0.24444444444444444,0.5511111111111111,3,-163.64374938271604,8.398656963863774,-159.91256666666666,-173.2615111111111,-157.75717037037037,3,-186.13840370370372,1.6655240891245158,-185.5002814814815,-188.02863333333335,-184.8862962962963,3,22.494654320987653,9.415429636172119,27.74311111111111,11.624785185185186,28.11606666666666,3,160.34666666666666,30.454013419142868,155.64,132.51999999999998,192.88,3,-17.980797530864198,8.277500899945911,-22.45482222222222,-23.058451851851853,-8.42911851851852,3
17,2700,0.0,2700,2700,2700,3,1271,550.4579911310217,1513,641,1659,3,0.47074074074074074,0.2038733300485266,0.5603703703703704,0.2374074074074074,0.6144444444444445,3,-167.93639135802468,19.9727559083648,-173.27204444444442,-184.69944444444445,-145.8376851851852,3,-186.7989271604938,5.275172825095614,-184.8732074074074,-192.76639999999998,-182.75717407407407,3,18.862535802469136,15.737306681053024,11.601162962962963,8.066955555555555,36.919488888888885,3,159.29333333333335,72.30449594135439,136.92,100.82000000000002,240.14000000000001,3,-13.802323456790123,11.308376333319712,-8.462525925925926,-26.791829629629632,-6.152614814814815,3
18,2700,0.0,2700,2700,2700,3,631,48.507731342539614,632,582,679,3,0.2337037037037037,0.017965826423162815,0.23407407407407407,0.21555555555555556,0.2514814814814815,3,-150.12204691358025,6.936723216607252,-147.24357407407405,-158.0346074074074,-145.08795925925926,3,-184.07096790123455,3.650401761082736,-186.04863333333333,-186.3058074074074,-179.85846296296296,3,33.94892098765432,5.314771523118731,34.770503703703696,28.271199999999997,38.80505925925925,3,218.82666666666665,72.55891491287154,210.61999999999995,150.72,295.14,3,-25.368002469135803,2.5884293108673253,-25.574125925925927,-27.847207407407403,-22.682674074074075,3
19,2700,0.0,2700,2700,2700,3,1483.3333333333333,421.83211510425963,1703,997,1750,3,0.5493827160493827,0.15623411670528134,0.6307407407407407,0.36925925925925923,0.6481481481481481,3,-145.58627407407405,9.822442192861828,-150.41925185185184,-152.05584814814813,-134.28372222222222,3,-156.750987654321,2.0113664229193287,-157.48502962962962,-158.29223333333331,-154.47570000000002,3,11.164713580246914,7.828831150764382,7.065777777777779,6.236385185185186,20.191977777777776,3,131.21333333333334,23.338880293050327,138.58,105.08000000000001,149.98,3,-8.975456790123458,6.426755314559164,-5.496044444444446,-16.391733333333335,-5.038592592592593,3
20,2700,0.0,2700,2700,2700,3,1621.6666666666667,907.393152571328,1768,650,2447,3,0.6006172839506173,0.3360715379893807,0.6548148148148148,0.24074074074074073,0.9062962962962963,3,-104.56756666666666,5.7573892626055665,-102.53273703703704,-111.06605185185184,-100.10391111111112,3,-113.34227530864197,9.265512846013861,-115.34393333333333,-121.44335555555556,-103.23953703703704,3,8.774708641975309,11.026903240540033,4.277881481481482,0.7068000000000001,21.339444444444446,3,69.76666666666667,25.466089871304025,62.120000000000005,49.0,98.18,3,-8.502353086419753,10.917205087568144,-4.126096296296297,-20.928725925925924,-0.4522370370370376,3
21,2700,0.0,2700,2700,2700,3,1875,1025.0234143667158,2434,692,2499,3,0.6944444444444444,0.37963830161730217,0.9014814814814814,0.2562962962962963,0.9255555555555556,3,-96.83827407407406,1.0810402185719585,-97.41906296296297,-97.50478148148147,-95.59097777777777,3,-103.99687654320988,10.12292993737148,-98.37444814814815,-115.68305185185184,-97.93312962962963,3,7.158602469135802,11.20212607752691,0.8696666666666666,0.5140666666666668,20.092074074074073,3,59.153333333333336,29.926645875094874,52.76000000000002,32.94,91.75999999999999,3,-6.924997530864197,11.154451026255735,-0.6713777777777782,-19.803266666666666,-0.3003481481481486,3
22,2700,0.0,2700,2700,2700,3,1878.6666666666667,1046.8296582220687,2469,670,2497,3,0.6958024691358025,0.38771468823039584,0.9144444444444444,0.24814814814814815,0.9248148148148149,3,-88.71217407407407,0.9202389241554985,-88.9817962962963,-89.46748518518518,-87.68724074074073,3,-96.2047098765432,10.724202892014828,-90.34034444444444,-108.58228518518519,-89.6915,3,7.492535802469136,11.607199634601546,0.8728592592592593,0.7097037037037038,20.895044444444444,3,57.0,29.360081743755412,41.120000000000005,39.0,90.88,3,-7.376269135802469,11.573943599511887,-0.7626518518518521,-20.740474074074072,-0.6256814814814818,3
23,2700,0.0,2700,2700,2700,3,1959,1092.9611155022853,2581,697,2599,3,0.7255555555555555,0.4048004131489946,0.955925925925926,0.2581481481481481,0.9625925925925926,3,-87.3502925925926,4.841339333899977,-88.82105185185185,-91.2856962962963,-81.94412962962963,3,-94.42444814814816,6.868117423565359,-91.8152,-102.21481851851853,-89.24332592592593,3,7.0741555555555555,11.428658869775619,0.5295037037037038,0.42227407407407413,20.270688888888888,3,54.35333333333333,34.632564636961746,39.06,30.0,94.0,3,-7.0485851851851855,11.423475534900092,-0.5069111111111112,-20.239133333333335,-0.3997111111111112,3
