hour,num_decisions_mean,num_decisions_standard_deviation,num_decisions_median,num_decisions_min,num_decisions_max,num_decisions_count,optimal_hits_mean,optimal_hits_standard_deviation,optimal_hits_median,optimal_hits_min,optimal_hits_max,optimal_hits_count,optimum_recovery_rate_mean,optimum_recovery_rate_standard_deviation,optimum_recovery_rate_median,optimum_recovery_rate_min,optimum_recovery_rate_max,optimum_recovery_rate_count,average_selected_energy_mean,average_selected_energy_standard_deviation,average_selected_energy_median,average_selected_energy_min,average_selected_energy_max,average_selected_energy_count,average_exact_min_energy_mean,average_exact_min_energy_standard_deviation,average_exact_min_energy_median,average_exact_min_energy_min,average_exact_min_energy_max,average_exact_min_energy_count,average_optimality_gap_mean,average_optimality_gap_standard_deviation,average_optimality_gap_median,average_optimality_gap_min,average_optimality_gap_max,average_optimality_gap_count,maximum_optimality_gap_mean,maximum_optimality_gap_standard_deviation,maximum_optimality_gap_median,maximum_optimality_gap_min,maximum_optimality_gap_max,maximum_optimality_gap_count,average_energy_reduction_mean,average_energy_reduction_standard_deviation,average_energy_reduction_median,average_energy_reduction_min,average_energy_reduction_max,average_energy_reduction_count
0,2700,0.0,2700.0,2700,2700,20,1784.9,939.8759660609198,2520.0,439,2628,20,0.661074074074074,0.3481022096521926,0.9333333333333333,0.1625925925925926,0.9733333333333334,20,-90.08145796296277,8.231599759403936,-95.76687592592594,-97.62204074074074,-75.66141111111111,20,-98.77663685185166,2.158274603199118,-98.22385925925926,-102.54902962962963,-96.06752222222222,20,8.695178888888888,9.823787288427786,1.0698444444444442,0.35638518518518514,25.12823703703704,20,56.459,23.587639470482706,45.94,32.0,106.94,20,-8.681479259259259,9.822429818221432,-1.059596296296296,-25.113555555555557,-0.34438518518518535,20
1,2700,0.0,2700.0,2700,2700,20,1603,987.9854569566775,1731.0,413,2673,20,0.5937037037037037,0.36592053961358423,0.6411111111111111,0.15296296296296297,0.99,20,-89.76197222222211,12.846131606364928,-95.98669444444444,-103.32142962962962,-71.13767037037029,20,-101.0311948148147,1.9221208280845508,-101.30956111111112,-104.61239629629628,-98.3384037037037,20,11.269222592592593,11.181571921711244,7.113581481481481,0.1608074074074074,27.382659259259263,20,58.094,26.488955474032252,54.5,24.939999999999998,97.0,20,-11.267718888888888,11.180198214653053,-7.111948148148148,-27.380940740740744,-0.1608074074074074,20
2,2700,0.0,2700.0,2700,2700,20,1430.05,1100.5537111166504,899.5,337,2679,20,0.5296481481481482,0.4076124855987594,0.33314814814814814,0.12481481481481481,0.9922222222222222,20,-86.7923722222222,16.649908361500195,-84.08822777777782,-105.36815925925853,-66.97047407407408,20,-101.76904740740738,2.8375908446511717,-101.2696351851852,-105.7008259259253,-97.57096296296295,20,14.976675185185185,13.887389334665816,17.04444814814815,0.14161481481481483,30.60048888888889,20,61.871,25.2724567984907,64.06,24.0,92.0,20,-14.975402222222222,13.886349911844835,-17.041888888888888,-30.599792592592593,-0.14161481481481483,20
3,2700,0.0,2700.0,2700,2700,20,2055.65,598.5000791452263,2230.0,299,2688,20,0.7613518518518518,0.22166669597971345,0.825925925925926,0.11074074074074074,0.9955555555555555,20,-97.94690925925923,11.231393771018864,-101.32152777777779,-106.06745555555555,-63.29343333333333,20,-104.07313333333332,2.3268685630928196,-104.35059444444445,-106.7822777777778,-97.60427777777777,20,6.126224074074074,9.138365336504904,3.2634,0.08925925925925926,34.31084444444444,20,47.012,16.675278140187995,43.06,31.0,100.0,20,-6.125636296296297,9.137636334645231,-3.2634,-34.30714074074074,-0.08925925925925926,20
4,2700,0.0,2700.0,2700,2700,20,2138.95,227.1360535936672,2074.5,1882,2678,20,0.7922037037037037,0.08412446429395082,0.7683333333333333,0.697037037037037,0.9918518518518519,20,-100.17629833333329,1.8934895951523925,-100.13817777777777,-103.72648518518518,-96.44654814814814,20,-104.05208944444442,0.8365527961848325,-104.12063333333334,-105.13409629629629,-102.336,20,3.8757911111111114,1.6022764652681258,4.290725925925928,0.15717037037037038,5.889451851851852,20,44.494,4.874613506946501,44.0,30.0,53.06,20,-3.875368888888889,1.602125383878565,-4.290170370370372,-5.889451851851852,-0.15717037037037038,20
5,2700,0.0,2700.0,2700,2700,20,1465.2,889.3449748047865,977.0,617,2568,20,0.5426666666666666,0.3293870277054765,0.36185185185185187,0.2285185185185185,0.9511111111111111,20,-86.82512388888877,5.1842648747721185,-86.99285555555556,-94.40065925925926,-80.32913333333333,20,-98.5064972222221,5.172575843982256,-101.91163333333333,-103.77470370370371,-90.96781481481482,20,11.681373333333333,9.431300040068004,15.551533333333332,0.5471185185185186,21.54142962962963,20,65.79599999999999,22.75740212719693,76.44,35.94,96.06,20,-11.646826296296297,9.422884345670035,-15.51541851851852,-21.507274074074076,-0.5230074074074076,20
6,2700,0.0,2700.0,2700,2700,20,1591.05,810.9487929190364,1720.5,620,2471,20,0.5892777777777778,0.3003514047848283,0.6372222222222221,0.22962962962962963,0.9151851851851852,20,-98.25603129629626,4.674303798271728,-97.04005925925927,-107.26978518518519,-94.09855185185285,20,-107.83108203703696,8.027630568865401,-112.12825370370369,-115.59235185185184,-96.64776666666667,20,9.57505074074074,9.289389141563104,4.973411111111112,0.7081925925925927,21.22762222222222,20,67.023,27.801450378674396,58.120000000000005,32.0,115.57999999999998,20,-9.363587407407406,9.236095740109318,-4.884937037037038,-20.92854074074073,-0.5100962962962967,20
7,2700,0.0,2700.0,2700,2700,20,1752.2,398.3819378699951,1822.5,658,2334,20,0.648962962962963,0.14754886587777596,0.675,0.2437037037037037,0.8644444444444445,20,-129.85530037037037,5.445788846364145,-131.98102037037035,-135.2034962962963,-117.3807925925926,20,-135.50578703703704,4.879954423007538,-136.57711296296293,-141.0415148148148,-121.91898518518525,20,5.6504866666666675,5.746719429008756,4.0923592592592595,1.1988740740740729,22.612429629629627,20,68.354,21.17804334682503,63.800000000000004,47.06,112.58,20,-5.17976814814815,5.465585556477979,-3.75528888888889,-21.28240740740741,-0.6521555555555549,20
8,2700,0.0,2700.0,2700,2700,20,1669,390.43228404046283,1818.0,628,1907,20,0.6181481481481481,0.14460454964461586,0.6733333333333333,0.2325925925925926,0.7062962962962963,20,-141.5129764814815,5.301626241571553,-143.2461537037037,-145.51112962962964,-125.79819629629701,20,-148.64021055555554,2.144231407635035,-148.1060388888889,-153.14638888888888,-145.39288148148142,20,7.1272340740740745,6.4240461450831114,4.714444444444445,3.271000000000001,24.236407407407405,20,99.448,27.979307692424563,96.42999999999999,55.0,149.76,20,-6.269860740740741,5.871570710063483,-4.0979000000000045,-22.07482962962963,-2.772896296296297,20
9,2700,0.0,2700.0,2700,2700,20,1569.25,448.89910658714484,1795.5,676,2229,20,0.5812037037037037,0.1662589283656092,0.665,0.25037037037037035,0.8255555555555556,20,-131.62041444444444,5.358220993841465,-134.04122037037035,-136.11416296296295,-119.0994111111111,20,-140.0312614814815,2.6955741931061494,-139.95190555555553,-144.06854074074073,-132.1421962962963,20,8.41084703703704,6.908824351599129,4.610218518518528,2.1893777777777776,22.875548148148148,20,98.175,29.48793714117868,86.92999999999998,64.24000000000001,166.21999999999997,20,-7.6322970370370395,6.4517100282270246,-4.164614814814825,-21.43917037037037,-1.5205037037037046,20
