hour,average_travel_time_mean,average_travel_time_standard_deviation,average_travel_time_median,average_travel_time_min,average_travel_time_max,average_travel_time_count,average_waiting_time_mean,average_waiting_time_standard_deviation,average_waiting_time_median,average_waiting_time_min,average_waiting_time_max,average_waiting_time_count,completed_vehicles_mean,completed_vehicles_standard_deviation,completed_vehicles_median,completed_vehicles_min,completed_vehicles_max,completed_vehicles_count
0,69.959,8.295514894713953,75.465,60.54,78.62,20,24.7565,6.565072874089461,29.725,17.23,31.33,20,963,0.0,963.0,963,963,20
1,66.54,8.426461453752633,61.105,57.99,79.47,20,23.3115,6.547624941031752,19.049999999999997,16.27,32.65,20,572,0.0,572.0,572,572,20
2,67.756,8.763072280283534,61.935,58.75,83.55,20,23.804,6.42615330627814,19.4,17.02,33.63,20,440,0.0,440.0,440,440,20
3,64.565,4.016942408821598,64.085,60.28,80.63,20,22.06,3.0765205910847437,21.759999999999998,18.13,34.14,20,344,0.0,344.0,344,344,20
4,65.711,5.370916710933944,63.845,61.99,79.67,20,22.7625,3.795666330795799,21.47,19.63,32.0,20,496,0.0,496.0,496,496,20
5,66.9785,7.4771759902702355,61.43,59.93,77.26,20,22.245,6.263560026895752,17.49,16.4,30.64,20,1363,0.0,1363.0,1363,1363,20
6,67.0715,2.960144511052763,64.945,64.35,71.42,20,20.9975,3.3965754812752214,18.56,17.86,25.51,20,3123,0.0,3123.0,3123,3123,20
7,73.09349999999999,1.3136020185573318,72.735,71.6,76.68,20,21.985500000000002,0.7220619232812595,21.79,21.08,23.57,20,5244.65,40.90589328279188,5239.5,5194,5375,20
8,82.4195,1.5823815329399784,82.565,79.66,84.54,20,25.258,0.5275125341489152,25.32,24.08,26.15,20,5996.5,38.835008622850104,5987.5,5933,6058,20
9,75.9325,1.311218296490952,75.60499999999999,73.95,77.75,20,22.929,0.6840660171280791,22.825,21.94,24.86,20,5345.15,34.392892472596415,5342.5,5284,5394,20
10,71.595,0.5719173661327399,71.57,70.7,73.0,20,21.278,0.6814195708804872,21.14,20.51,23.85,20,4993.95,14.626849860516968,4993.0,4980,5045,20
11,78.0615,3.7271949026184905,77.325,73.57,90.25,20,23.6285,1.3437233228686079,23.29,21.87,27.93,20,5422.65,105.96388411549525,5407.5,5288,5761,20
12,78.12950000000001,1.7564362094578718,77.67500000000001,75.2,82.86,20,23.6695,0.6132096318809568,23.71,22.44,25.02,20,5713.6,46.20138981732727,5706.0,5640,5856,20
13,85.5985,2.0029643163650164,85.31,82.75,89.83,20,26.2525,0.8334321871192136,26.119999999999997,24.74,28.0,20,5966.9,38.97489070238886,5952.5,5912,6027,20
14,98.5765,3.0262957642358046,98.045,93.71,104.34,20,30.4935,0.9542772133924189,30.25,28.75,32.07,20,6439.85,65.75894976111016,6416.0,6351,6571,20
15,119.743,2.9114241405737835,119.87,114.1,124.21,20,36.7395,0.7101035876991171,36.66,35.54,38.14,20,6819.9,39.12315238617127,6831.0,6739,6877,20
16,129.735,1.4303606464620613,129.64499999999998,127.25,132.4,20,39.1095,0.3721838114073264,39.065,38.39,39.83,20,6849.05,49.37767980735724,6849.0,6726,6936,20
17,129.10999999999999,1.6321248662241998,128.785,126.44,131.98,20,38.841499999999996,0.4353011661633336,38.885000000000005,38.11,39.6,20,6786.2,60.60189331765312,6770.5,6687,6907,20
18,131.3525,2.365955632008254,131.29000000000002,126.6,135.48,20,38.762,0.5838853528417705,38.66,37.66,39.85,20,6704.25,55.68319693635264,6705.0,6577,6843,20
19,101.699,4.125554380609765,101.85,93.77,108.06,20,31.0285,1.1705386749158206,31.33,28.74,32.71,20,5675.85,119.75821035473277,5671.5,5412,5916,20
20,66.5765,1.1868102983251059,66.22,65.54,70.0,20,19.563,1.7294176080859978,19.05,18.27,24.15,20,3604.95,0.22360679774997896,3605.0,3604,3605,20
21,67.2775,3.016114396476298,65.14500000000001,64.24,71.16,20,21.2205,3.5314727433242505,18.575000000000003,17.75,25.62,20,3130,0.0,3130.0,3130,3130,20
22,68.7195,5.540568539134058,72.655,62.23,74.75,20,23.0405,5.2323935098676655,27.05,16.94,28.47,20,2249,0.0,2249.0,2249,2249,20
23,69.636,8.143195027945596,75.875,60.44,78.83,20,24.3205,6.717892428746572,29.700000000000003,16.53,31.42,20,1350.9,1.7441631985447619,1350.5,1348,1355,20
