hour,num_decisions_mean,num_decisions_standard_deviation,num_decisions_median,num_decisions_min,num_decisions_max,num_decisions_count,optimal_hits_mean,optimal_hits_standard_deviation,optimal_hits_median,optimal_hits_min,optimal_hits_max,optimal_hits_count,optimum_recovery_rate_mean,optimum_recovery_rate_standard_deviation,optimum_recovery_rate_median,optimum_recovery_rate_min,optimum_recovery_rate_max,optimum_recovery_rate_count,average_selected_energy_mean,average_selected_energy_standard_deviation,average_selected_energy_median,average_selected_energy_min,average_selected_energy_max,average_selected_energy_count,average_exact_min_energy_mean,average_exact_min_energy_standard_deviation,average_exact_min_energy_median,average_exact_min_energy_min,average_exact_min_energy_max,average_exact_min_energy_count,average_optimality_gap_mean,average_optimality_gap_standard_deviation,average_optimality_gap_median,average_optimality_gap_min,average_optimality_gap_max,average_optimality_gap_count,maximum_optimality_gap_mean,maximum_optimality_gap_standard_deviation,maximum_optimality_gap_median,maximum_optimality_gap_min,maximum_optimality_gap_max,maximum_optimality_gap_count,average_energy_reduction_mean,average_energy_reduction_standard_deviation,average_energy_reduction_median,average_energy_reduction_min,average_energy_reduction_max,average_energy_reduction_count
0,2700,0.0,2700,2700,2700,3,2587.6666666666665,43.84442191811101,2594,2541,2628,3,0.9583950617283951,0.016238674784485582,0.9607407407407408,0.9411111111111111,0.9733333333333334,3,-96.20772592592463,0.2892963980759877,-96.16390370370235,-96.51643333333223,-95.94284074073931,3,-96.81299999999868,0.5925871761444,-96.67849629629492,-97.46127777777666,-96.29922592592447,3,0.605274074074074,0.30452983969513736,0.5145925925925927,0.35638518518518514,0.9448444444444439,3,40.94,7.514226507099715,41.879999999999995,33.0,47.94,3,-0.5942962962962962,0.3044946077443808,-0.5050666666666669,-0.9334370370370363,-0.34438518518518535,3
1,2700,0.0,2700,2700,2700,3,1916.3333333333333,1301.9263932086687,2666,413,2670,3,0.7097530864197531,0.48219496044765514,0.9874074074074074,0.15296296296296297,0.9888888888888889,3,-91.82543086419676,17.9300766843146,-101.46215185185052,-102.87647037036947,-71.13767037037029,3,-101.09249999999922,2.3385295312562273,-101.66677407407275,-103.09039629629541,-98.5203296296295,3,9.26706913580247,15.688561941125759,0.21392592592592594,0.20462222222222223,27.382659259259263,3,50.0,29.597297173897484,36.0,30.0,84.0,3,-9.266496296296298,15.687569754040103,-0.21392592592592594,-27.380940740740744,-0.20462222222222223,3
2,2700,0.0,2700,2700,2700,3,1433.3333333333333,1144.3313913955753,1284,371,2645,3,0.5308641975308642,0.4238264412576205,0.47555555555555556,0.1374074074074074,0.9796296296296296,3,-89.41134691358006,17.571006938114003,-92.28537777777785,-105.36815925925853,-70.58050370370381,3,-102.71523333333319,3.1633465028429484,-103.04491851851864,-105.7008259259253,-99.39995555555562,3,13.303886419753088,14.412824280738777,10.75954074074074,0.33266666666666667,28.81945185185186,3,58.98,30.024796418960108,52.0,33.06,91.88,3,-13.301955555555558,14.411400969456155,-10.758518518518517,-28.815748148148156,-0.33160000000000006,3
3,2700,0.0,2700,2700,2700,3,2193,93.06449376641986,2189,2102,2288,3,0.8122222222222222,0.034468331024599945,0.8107407407407408,0.7785185185185185,0.8474074074074074,3,-100.97514938271583,2.6016618057132104,-100.16117777777761,-103.88647777777739,-98.8777925925925,3,-104.5370827160493,1.9148697095156584,-103.72542962962956,-106.72409999999964,-103.16171851851871,3,3.5619333333333336,0.7231546393980021,3.5642518518518522,2.8376222222222216,4.283925925925927,3,41.666666666666664,2.0816659994661326,41.0,40.0,44.0,3,-3.561004938271606,0.7217647367129576,-3.5642518518518522,-4.281140740740743,-2.8376222222222216,3
4,2700,0.0,2700,2700,2700,3,2078,7.54983443527075,2079,2070,2085,3,0.7696296296296297,0.002796234976026192,0.77,0.7666666666666667,0.7722222222222223,3,-100.15010864197504,0.37734672694558713,-100.21674814814783,-100.48969629629607,-99.74388148148121,3,-104.4122024691356,0.40862362009441316,-104.56742962962942,-104.72046666666661,-103.94871111111075,3,4.262093827160495,0.0778078394579609,4.230770370370371,4.20482962962963,4.350681481481484,3,45.0,4.58257569495584,46.0,40.0,49.0,3,-4.261607407407409,0.07816087977736774,-4.22965925925926,-4.350681481481484,-4.204481481481483,3
5,2700,0.0,2700,2700,2700,3,1866.3333333333333,1073.9684973654178,2428,628,2543,3,0.6912345679012346,0.3977661101353399,0.8992592592592593,0.2325925925925926,0.9418518518518518,3,-88.69793456790048,6.1047726693573985,-90.701218518517,-93.54935925925805,-81.84322592592638,3,-96.1629814814806,5.481260978128431,-94.96317407407281,-102.14475925925949,-91.38101111110952,3,7.465046913580248,11.12277999688289,1.413814814814814,0.6797925925925921,20.30153333333334,3,53.666666666666664,26.312227829154516,40.0,37.0,84.0,3,-7.429471604938274,11.113573513628133,-1.388355555555554,-20.25514074074075,-0.6449185185185184,3
6,2700,0.0,2700,2700,2700,3,1835.6666666666667,1028.5505983340506,2428,648,2431,3,0.6798765432098766,0.3809446660496484,0.8992592592592593,0.24,0.9003703703703704,3,-97.03740493827138,2.6518215912973324,-97.76217407407309,-99.25148888888819,-94.09855185185285,3,-104.6587135802464,9.272296709944586,-100.11836296296217,-115.32617407407452,-98.53160370370253,3,7.6213086419753076,11.7835139405844,0.8668740740740737,0.7694296296296295,21.22762222222222,3,57.15333333333333,33.66922828538446,41.81999999999999,33.879999999999995,95.75999999999999,3,-7.382553086419749,11.731309329713724,-0.6668518518518518,-20.92854074074073,-0.5522666666666671,3
7,2700,0.0,2700,2700,2700,3,1975.3333333333333,310.717449354447,1804,1788,2334,3,0.731604938271605,0.11508053679794332,0.6681481481481482,0.6622222222222223,0.8644444444444445,3,-127.13942098765443,5.559321410243642,-130.3290740740743,-130.369077777778,-120.72011111111102,3,-130.28626543209887,7.246303836953967,-134.45027777777798,-134.4895333333334,-121.91898518518525,3,3.1468444444444503,1.6874572381027202,4.0812000000000115,1.1988740740740729,4.160459259259267,3,62.45333333333334,16.48729611953802,56.360000000000014,49.879999999999995,81.12,3,-2.741249382716055,1.8092575924831582,-3.772444444444451,-3.7991481481481597,-0.6521555555555549,3
8,2700,0.0,2700,2700,2700,3,1428.6666666666667,671.008445053662,1779,655,1852,3,0.5291358024691358,0.2485216463161711,0.6588888888888889,0.24259259259259258,0.6859259259259259,3,-137.077702469136,9.910183278818616,-141.0467407407408,-144.3881703703702,-125.79819629629701,3,-148.0299790123456,2.2852776774316563,-149.2661777777774,-149.43087777777794,-145.39288148148142,3,10.952276543209875,10.984772304726416,4.878007407407421,4.34614074074075,23.632681481481455,3,115.30666666666666,29.84070597913751,98.52,97.64,149.76,3,-9.902637037037037,10.307845501611993,-4.102007407407416,-21.803851851851835,-3.8020518518518576,3
9,2700,0.0,2700,2700,2700,3,1791.6666666666667,10.408329997330664,1795,1780,1800,3,0.6635802469135802,0.0038549370360484126,0.6648148148148149,0.6592592592592592,0.6666666666666666,3,-134.71376790123463,0.8301074083110727,-134.51490740740735,-135.62524444444486,-134.0011518518517,3,-139.27786419753102,0.7312761640247577,-139.1562629629629,-140.062318518519,-138.61501111111116,3,4.56409629629631,0.11086025113271199,4.613859259259278,4.437074074074084,4.64135555555557,3,76.29333333333335,10.620910193261848,80.36000000000001,64.24000000000001,84.28000000000002,3,-4.148390123456803,0.09252619970289327,-4.184007407407426,-4.21781481481483,-4.043348148148154,3
