hour,num_decisions_mean,num_decisions_standard_deviation,num_decisions_median,num_decisions_min,num_decisions_max,num_decisions_count,optimal_hits_mean,optimal_hits_standard_deviation,optimal_hits_median,optimal_hits_min,optimal_hits_max,optimal_hits_count,optimum_recovery_rate_mean,optimum_recovery_rate_standard_deviation,optimum_recovery_rate_median,optimum_recovery_rate_min,optimum_recovery_rate_max,optimum_recovery_rate_count,average_selected_energy_mean,average_selected_energy_standard_deviation,average_selected_energy_median,average_selected_energy_min,average_selected_energy_max,average_selected_energy_count,average_exact_min_energy_mean,average_exact_min_energy_standard_deviation,average_exact_min_energy_median,average_exact_min_energy_min,average_exact_min_energy_max,average_exact_min_energy_count,average_optimality_gap_mean,average_optimality_gap_standard_deviation,average_optimality_gap_median,average_optimality_gap_min,average_optimality_gap_max,average_optimality_gap_count,maximum_optimality_gap_mean,maximum_optimality_gap_standard_deviation,maximum_optimality_gap_median,maximum_optimality_gap_min,maximum_optimality_gap_max,maximum_optimality_gap_count,average_energy_reduction_mean,average_energy_reduction_standard_deviation,average_energy_reduction_median,average_energy_reduction_min,average_energy_reduction_max,average_energy_reduction_count
0,2700,0.0,2700,2700,2700,3,1225.3333333333333,1210.2645716261106,618,439,2619,3,0.45382716049382715,0.44824613763930027,0.2288888888888889,0.1625925925925926,0.97,3,-83.19126049382716,10.874311340257227,-78.25407777777778,-95.6582925925926,-75.66141111111111,3,-99.02381358024692,2.5763363215890003,-100.21427037037039,-100.78964814814815,-96.06752222222222,3,15.832553086419754,13.450587579733206,21.96019259259259,0.40922962962962967,25.12823703703704,3,70.02,29.465620645083987,83.88,36.18000000000001,90.0,3,-15.821577777777778,13.443886626030169,-21.945103703703705,-25.113555555555557,-0.4060740740740741,3
1,2700,0.0,2700,2700,2700,3,1636.6666666666667,1127.517775174003,1801,436,2673,3,0.6061728395061728,0.41759917599037144,0.667037037037037,0.16148148148148148,0.99,3,-89.8473049382716,14.761803906323793,-95.54619259259259,-100.9101888888889,-73.08553333333333,3,-100.57601358024692,1.7571601361472204,-101.0709962962963,-102.0325925925926,-98.62445185185186,3,10.728708641975308,13.210223989482884,6.4864,0.1608074074074074,25.538918518518518,3,54.31333333333333,29.531246728394883,54.0,24.939999999999998,84.0,3,-10.727802469135803,13.209688325064322,-6.48502962962963,-25.53757037037037,-0.1608074074074074,3
2,2700,0.0,2700,2700,2700,3,1136.6666666666667,1326.2041069659426,380,362,2668,3,0.4209876543209876,0.49118670628368244,0.14074074074074075,0.13407407407407407,0.9881481481481481,3,-80.57774567901235,20.508395496131637,-70.59668888888889,-104.16607407407409,-66.97047407407408,3,-100.44104197530864,3.5036375289055233,-99.40677777777778,-104.34538518518518,-97.57096296296295,3,19.863296296296298,17.070320372445927,28.81008888888889,0.17931111111111112,30.60048888888889,3,66.66666666666667,37.16629297271028,84.0,24.0,92.0,3,-19.86185925925926,17.069154168568016,-28.80647407407407,-30.599792592592593,-0.17931111111111112,3
3,2700,0.0,2700,2700,2700,3,2190.3333333333335,37.16629297271028,2201,2149,2221,3,0.8112345679012346,0.013765293693596385,0.8151851851851852,0.7959259259259259,0.8225925925925925,3,-101.24792098765433,2.0755423573229255,-100.87196666666667,-103.48574444444445,-99.38605185185186,3,-104.84905432098766,1.737365709513028,-104.3465814814815,-106.7822777777778,-103.4183037037037,3,3.6011333333333333,0.38383021802466444,3.474614814814815,3.296533333333333,4.032251851851852,3,46.70666666666667,4.5845537769049365,44.120000000000005,44.0,52.0,3,-3.600669135802469,0.3830481826761301,-3.474614814814815,-4.030859259259259,-3.296533333333333,3
4,2700,0.0,2700,2700,2700,3,2253.6666666666665,301.22638220005456,2117,2045,2599,3,0.8346913580246913,0.11156532674076092,0.784074074074074,0.7574074074074074,0.9625925925925926,3,-100.81260987654322,2.328612057486323,-100.09217037037037,-103.4163,-98.92935925925927,3,-103.8645135802469,0.3978017547834921,-104.06242222222221,-104.12454444444445,-103.40657407407407,3,3.0519037037037036,2.0454356269723553,3.970251851851852,0.7082444444444445,4.477214814814815,3,46.35333333333333,5.893601049726165,44.0,42.0,53.06,3,-3.051555555555556,2.0454433658386204,-3.969511111111111,-4.477214814814815,-0.7079407407407408,3
5,2700,0.0,2700,2700,2700,3,820.3333333333334,322.3481554675524,652,617,1192,3,0.3038271604938272,0.1193882057287231,0.2414814814814815,0.2285185185185185,0.4414814814814815,3,-84.85725802469136,5.989093046349942,-81.96398888888889,-91.74365185185185,-80.86413333333333,3,-102.92946790123457,0.6673018156115171,-102.70209999999999,-103.68074074074075,-102.40556296296297,3,18.072209876543212,5.328331099923887,20.738111111111113,11.937088888888889,21.54142962962963,3,79.23333333333333,5.01630674234873,79.69999999999999,74.0,84.0,3,-18.031123456790123,5.314212925486895,-20.672755555555558,-21.506888888888888,-11.913725925925926,3
6,2700,0.0,2700,2700,2700,3,1289.3333333333333,1009.6159335773843,722,691,2455,3,0.4775308641975309,0.37393182725088303,0.2674074074074074,0.25592592592592595,0.9092592592592592,3,-95.40566419753087,0.429895125092115,-95.23479999999999,-95.89472222222223,-95.08747037037037,3,-109.01377530864197,10.712035735785738,-114.95371111111112,-115.43984814814813,-96.64776666666667,3,13.608111111111112,11.137318988777226,19.71891111111111,0.7530444444444445,20.35237777777778,3,73.27333333333334,34.87454850364852,90.06,33.18000000000001,96.58000000000001,3,-13.372167901234569,11.090559907629086,-19.412237037037038,-20.131637037037038,-0.5726296296296302,3
7,2700,0.0,2700,2700,2700,3,1455.3333333333333,645.4783755737549,1827,710,1829,3,0.5390123456790124,0.23906606502731662,0.6766666666666666,0.26296296296296295,0.6774074074074075,3,-128.31787901234568,7.9543868691508735,-132.38545925925925,-133.41594444444445,-119.15223333333333,3,-138.30306172839505,2.4394343245102035,-137.50523333333334,-141.0415148148148,-136.362437037037,3,9.985182716049382,10.309404881431869,4.089288888888889,3.9769777777777784,21.88928148148148,3,77.35333333333334,32.623950302397986,71.30000000000003,48.17999999999998,112.58,3,-9.287740740740741,9.764198812857591,-3.690718518518519,-20.56237037037037,-3.610133333333334,3
8,2700,0.0,2700,2700,2700,3,1814.3333333333333,35.133080327994776,1822,1776,1845,3,0.6719753086419753,0.0130122519733314,0.6748148148148149,0.6577777777777778,0.6833333333333333,3,-144.4113938271605,1.0138769841501867,-144.2092074074074,-145.51112962962964,-143.51384444444446,3,-149.33346543209876,1.5412878222288824,-148.71874074074074,-151.08725555555554,-148.1944,3,4.922071604938273,0.5728459140339779,4.680555555555556,4.509533333333334,5.576125925925927,3,115.32666666666665,21.982869087845053,124.28000000000003,90.27999999999997,131.41999999999996,3,-4.239871604938273,0.4212452354459536,-4.093792592592594,-4.714711111111113,-3.9111111111111123,3
9,2700,0.0,2700,2700,2700,3,1607,355.0718237202158,1811,1197,1813,3,0.5951851851851852,0.13150808285933915,0.6707407407407407,0.44333333333333336,0.6714814814814815,3,-133.24008024691358,3.3450630972073117,-134.9295962962963,-135.4034111111111,-129.3872333333333,3,-140.5748061728395,1.74732536045795,-140.00998888888887,-142.53467777777777,-139.17975185185185,3,7.334725925925927,5.0371154078271365,4.606577777777779,4.250155555555557,13.147444444444444,3,101.6133333333333,33.52287179424421,87.27999999999994,77.63999999999999,139.92,3,-6.506138271604939,4.355120445162239,-4.121562962962964,-11.5328,-3.8640518518518525,3
10,2700,0.0,2700,2700,2700,3,1628.3333333333333,284.88301692683143,1775,1300,1810,3,0.6030864197530864,0.10551222849141909,0.6574074074074074,0.48148148148148145,0.6703703703703704,3,-125.21315679012345,2.550212637102114,-126.4684962962963,-126.89236296296296,-122.2786111111111,3,-131.52043333333333,0.9065735165248205,-131.16753333333332,-132.55038888888888,-130.8433777777778,3,6.307276543209877,3.4337207378567585,4.3748814814814825,4.275170370370371,10.271777777777778,3,68.50666666666666,17.604344160840892,62.18000000000001,54.94,88.39999999999998,3,-5.88964938271605,3.174122485566532,-4.085962962962964,-9.55465925925926,-4.028325925925927,3
