hour,average_travel_time_mean,average_travel_time_standard_deviation,average_travel_time_median,average_travel_time_min,average_travel_time_max,average_travel_time_count,average_waiting_time_mean,average_waiting_time_standard_deviation,average_waiting_time_median,average_waiting_time_min,average_waiting_time_max,average_waiting_time_count,completed_vehicles_mean,completed_vehicles_standard_deviation,completed_vehicles_median,completed_vehicles_min,completed_vehicles_max,completed_vehicles_count
0,66.53333333333333,9.872144312829581,61.05,60.62,77.93,3,21.96,7.607180818148073,17.8,17.34,30.74,3,963,0.0,963,963,963,3
1,66.52333333333334,11.188817333987238,60.88,59.28,79.41,3,23.119999999999997,8.283278336504212,19.06,17.65,32.65,3,572,0.0,572,572,572,3
2,66.51,9.743443949651482,61.62,60.18,77.73,3,22.856666666666666,7.2929852141172855,19.13,18.18,31.26,3,440,0.0,440,440,440,3
3,63.52,1.1258774356030072,64.16,62.22,64.18,3,21.303333333333335,0.4916638417997948,21.35,20.79,21.77,3,344,0.0,344,344,344,3
4,67.82666666666667,7.34969613884366,64.14,63.05,76.29,3,24.41,5.542300966205282,21.52,20.91,30.8,3,496,0.0,496,496,496,3
5,61.07333333333333,0.2987194893764575,60.97,60.84,61.41,3,17.256666666666668,0.2300724523564973,17.25,17.03,17.49,3,1363,0.0,1363,1363,1363,3
6,66.94666666666666,3.8740203062623935,64.71,64.71,71.42,3,20.5,4.339619799014657,18.08,17.91,25.51,3,3123,0.0,3123,3123,3123,3
7,74.11333333333333,0.8545369116271867,73.63,73.61,75.1,3,22.11,0.53507008886687,22.12,21.57,22.64,3,5264.666666666667,15.821925715074425,5261,5251,5282,3
8,83.39333333333333,1.1351798682734577,83.37,82.27,84.54,3,25.709999999999997,0.5106858133921481,25.83,25.15,26.15,3,6000.666666666667,31.65964834506747,5986,5979,6037,3
9,76.26666666666667,1.1997638656557963,75.96,75.25,77.59,3,22.996666666666666,0.5870547958524248,22.94,22.44,23.61,3,5362.666666666667,37.43438704364389,5378,5320,5390,3
10,71.42333333333333,0.1450287327853766,71.42,71.28,71.57,3,21.12333333333333,0.060277137733417564,21.13,21.06,21.18,3,4996.333333333333,12.897028081435403,5000,4982,5007,3
11,79.14666666666666,2.884689469134124,78.67,76.53,82.24,3,24.073333333333334,1.0936788072068213,23.72,23.2,25.3,3,5464.666666666667,84.31686268673268,5442,5394,5558,3
12,78.29333333333334,1.5461349660794022,77.74,77.1,80.04,3,23.673333333333336,0.609945352743451,23.8,23.01,24.21,3,5710.666666666667,19.008769905844336,5710,5692,5730,3
13,88.43333333333334,1.2150034293504404,87.85,87.62,89.83,3,27.44333333333333,0.7351417096950311,27.72,26.61,28.0,3,6010.666666666667,14.364307617610162,6005,6000,6027,3
14,101.42333333333333,3.2752760697891343,102.05,97.88,104.34,3,31.423333333333332,1.0430883631473102,31.98,30.22,32.07,3,6474,86.46964785403026,6446,6405,6571,3
15,121.43666666666667,1.441538529951016,121.15,120.16,123.0,3,36.91,0.4484417464955709,37.01,36.42,37.3,3,6800,55.65069631190611,6813,6739,6848,3
16,129.4,1.869518654627434,128.74,127.95,131.51,3,39.083333333333336,0.33020195840323924,39.07,38.76,39.42,3,6851,84.01785524517987,6849,6768,6936,3
17,128.69333333333333,1.9604676312893599,127.72,127.41,130.95,3,38.54666666666667,0.5993607705992545,38.3,38.11,39.23,3,6811.333333333333,46.543886100467944,6809,6766,6859,3
18,131.70666666666665,4.587693683468123,133.04,126.6,135.48,3,38.9,1.123432240947359,39.19,37.66,39.85,3,6700.333333333333,22.501851775650227,6691,6684,6726,3
19,102.82666666666667,1.7180318196510027,102.15,101.55,104.78,3,31.54,0.3459768778401245,31.57,31.18,31.87,3,5693,86.85044617041412,5707,5600,5772,3
20,67.05,1.2519185277005829,66.44,66.22,68.49,3,20.44333333333333,2.0342648139643305,19.36,19.18,22.79,3,3605,0.0,3605,3605,3605,3
21,64.6,0.17578395831246804,64.53,64.47,64.8,3,18.01,0.1664331697709315,17.94,17.89,18.2,3,3130,0.0,3130,3130,3130,3
22,69.79666666666667,6.6333802343400565,72.55,62.23,74.61,3,24.05,6.172090407633381,27.18,16.94,28.03,3,2249,0.0,2249,2249,2249,3
23,71.42666666666668,9.520012254894075,76.4,60.45,77.43,3,25.966666666666665,7.853752818451401,30.09,16.91,30.9,3,1350,2.6457513110645907,1349,1348,1353,3
