hour,average_travel_time_mean,average_travel_time_standard_deviation,average_travel_time_median,average_travel_time_min,average_travel_time_max,average_travel_time_count,average_waiting_time_mean,average_waiting_time_standard_deviation,average_waiting_time_median,average_waiting_time_min,average_waiting_time_max,average_waiting_time_count,completed_vehicles_mean,completed_vehicles_standard_deviation,completed_vehicles_median,completed_vehicles_min,completed_vehicles_max,completed_vehicles_count
0,69.78384615384616,8.29385770561719,74.83,60.69,78.62,13,24.63230769230769,6.580031856364316,29.38,17.48,31.13,13,963,0.0,963,963,963,13
1,66.13846153846154,8.01582481319904,61.23,57.99,78.17,13,23.07076923076923,6.364828436465592,19.04,16.27,31.75,13,572,0.0,572,572,572,13
2,69.01769230769231,9.356414158075511,68.29,58.75,83.55,13,24.70769230769231,6.787761233580816,25.18,17.02,33.63,13,440,0.0,440,440,440,13
3,65.11,4.911423758273493,64.07,60.28,80.63,13,22.445384615384615,3.772487277170098,22.14,18.13,34.14,13,344,0.0,344,344,344,13
4,65.76384615384616,5.8695237434019285,63.51,61.99,79.67,13,22.70769230769231,4.074015533119942,20.98,19.63,32.0,13,496,0.0,496,496,496,13
5,68.09153846153846,7.665049299856509,62.11,61.03,77.26,13,23.123846153846152,6.393384000227029,18.49,16.99,30.54,13,1363,0.0,1363,1363,1363,13
6,66.9546153846154,2.913344628271247,64.9,64.45,70.65,13,20.937692307692306,3.3072500002422807,18.58,17.86,25.25,13,3123,0.0,3123,3123,3123,13
7,73.16846153846154,1.3730309911156793,72.72,71.95,76.68,13,21.97230769230769,0.6893735543490898,21.82,21.08,23.41,13,5248.153846153846,45.93264299283999,5238,5203,5375,13
8,82.55,1.5104690220811108,82.46,80.01,84.35,13,25.296153846153846,0.42344890407105096,25.34,24.51,25.81,13,6002.307692307692,39.356034300948515,6006,5949,6058,13
9,75.89846153846153,1.4199580167141455,75.49,73.95,77.75,13,22.84076923076923,0.5767070535731513,22.91,21.94,23.61,13,5344.2307692307695,34.52331059384332,5347,5284,5394,13
10,71.68230769230769,0.6179556867358947,71.63,70.78,73.0,13,21.346153846153847,0.8273203577568815,21.15,20.51,23.85,13,4994.153846153846,17.121361676018225,4993,4980,5045,13
11,78.4676923076923,4.118570046845049,77.59,73.57,90.25,13,23.766923076923078,1.492639633978368,23.31,21.87,27.93,13,5431.153846153846,114.26420127191058,5410,5288,5761,13
12,77.61,1.286280166474888,77.43,75.2,80.06,13,23.566153846153846,0.5964553414623543,23.39,22.44,24.81,13,5702.076923076923,36.37641529540245,5695,5640,5755,13
13,85.48076923076923,1.6627059348065807,85.28,83.07,88.17,13,26.25769230769231,0.560180831609369,26.13,25.4,27.41,13,5965.846153846154,38.95049454937672,5952,5919,6027,13
14,98.05538461538461,2.6891033678676073,98.01,94.18,103.1,13,30.38,0.8530435705949216,30.2,29.2,31.72,13,6426.846153846154,61.93524327048662,6401,6351,6550,13
15,119.34153846153846,3.2316529469036084,119.18,114.1,124.21,13,36.65076923076923,0.8178881498353094,36.42,35.54,38.14,13,6822.846153846154,31.235252930639536,6827,6761,6859,13
16,129.57538461538462,1.4705929381523606,129.33,127.25,132.4,13,39.03,0.3827749556419106,39.03,38.39,39.83,13,6848.076923076923,49.09932371981909,6849,6726,6923,13
17,129.00692307692307,1.7041194432677158,128.81,126.44,131.98,13,38.871538461538464,0.41973892984898326,38.84,38.23,39.6,13,6793.538461538462,65.34092054322389,6774,6714,6907,13
18,131.06,2.123114850088583,130.89,127.23,134.63,13,38.72076923076923,0.5256497810402784,38.62,38.06,39.7,13,6710,67.76552712601494,6719,6577,6843,13
19,100.80615384615385,4.476201027771837,99.08,93.77,108.06,13,30.763076923076923,1.2382944225518735,30.38,28.74,32.69,13,5658.384615384615,135.26242300403715,5638,5412,5916,13
20,66.60538461538462,1.3523289502719344,66.19,65.54,70.0,13,19.557692307692307,1.9212762852079768,18.92,18.27,24.15,13,3604.923076923077,0.2773500981126146,3605,3604,3605,13
21,68.36615384615385,2.9945854984775955,70.48,64.37,71.16,13,22.483846153846155,3.4618456986159334,25.07,18.04,25.62,13,3130,0.0,3130,3130,3130,13
22,69.43692307692308,5.506613273473064,72.84,62.49,74.75,13,23.682307692307692,5.2693265759585035,27.23,17.03,28.47,13,2249,0.0,2249,2249,2249,13
23,70.60692307692308,8.10668796387216,76.1,60.44,78.83,13,25.095384615384617,6.675493259408645,29.89,16.53,31.42,13,1350.6153846153845,1.0439078454267836,1350,1349,1353,13
