hour,average_travel_time_mean,average_travel_time_standard_deviation,average_travel_time_median,average_travel_time_min,average_travel_time_max,average_travel_time_count,average_waiting_time_mean,average_waiting_time_standard_deviation,average_waiting_time_median,average_waiting_time_min,average_waiting_time_max,average_waiting_time_count,completed_vehicles_mean,completed_vehicles_standard_deviation,completed_vehicles_median,completed_vehicles_min,completed_vehicles_max,completed_vehicles_count
0,77.28333333333333,0.9645897228010103,77.44,76.25,78.16,3,30.599999999999998,0.6533758489567845,30.4,30.07,31.33,3,963,0.0,963,963,963,3
1,71.09,9.829811798808763,73.53,60.27,79.47,3,26.766666666666666,7.421087072210736,29.26,18.42,32.62,3,572,0.0,572,572,572,3
2,65.37,8.541405036643559,61.03,59.87,75.21,3,22.213333333333335,6.6092460487814595,18.64,18.16,29.84,3,440,0.0,440,440,440,3
3,63.82333333333334,1.1868585987106228,64.26,62.48,64.73,3,21.543333333333333,1.1631566245924636,22.07,20.21,22.35,3,344,0.0,344,344,344,3
4,63.71666666666667,0.2600640946638584,63.71,63.46,63.98,3,21.526666666666667,0.21501937897160173,21.53,21.31,21.74,3,496,0.0,496,496,496,3
5,70.41,8.69815497677525,73.54,60.58,77.11,3,25.373333333333335,7.300228306932143,28.44,17.04,30.64,3,1363,0.0,1363,1363,1363,3
6,68.61,3.1533949958734993,70.08,64.99,70.76,3,22.773333333333333,3.916648226906947,24.78,18.26,25.28,3,3123,0.0,3123,3123,3123,3
7,72.08999999999999,0.8487048957087492,71.6,71.6,73.07,3,22.093333333333334,1.278840620770756,21.36,21.35,23.57,3,5211.333333333333,25.006665778014735,5200,5194,5240,3
8,80.79666666666667,1.8151124850359373,79.84,79.66,82.89,3,24.656666666666666,0.6689045771508331,24.5,24.08,25.39,3,5955.333333333333,24.78574859336174,5951,5933,5982,3
9,75.17333333333333,0.5307855813163489,75.14,74.66,75.72,3,22.599999999999998,0.1452583904633391,22.61,22.45,22.74,3,5318.333333333333,18.610033136277146,5316,5301,5338,3
10,71.56333333333333,0.7496888243353562,71.94,70.7,72.05,3,21.196666666666665,0.45709225910458373,21.43,20.67,21.49,3,4991.333333333333,9.29157324317757,4994,4981,4999,3
11,76.38666666666667,2.9436258820259975,76.06,73.62,79.48,3,23.023333333333333,0.8655826554023223,22.91,22.22,23.94,3,5387.666666666667,87.19136042827485,5381,5304,5478,3
12,78.64,1.901657172047579,78.35,76.9,80.67,3,23.663333333333334,0.29022979401387083,23.8,23.33,23.86,3,5719,30.315012782448235,5702,5701,5754,3
13,83.82666666666667,1.3490861104219176,83.39,82.75,85.34,3,25.543333333333333,0.38734136537856695,25.34,25.3,25.99,3,5933.666666666667,20.5993527406405,5936,5912,5953,3
14,96.79333333333334,2.788948427872655,97.53,93.71,99.14,3,29.823333333333334,0.9487535682849021,30.17,28.75,30.55,3,6424,29.103264421710495,6413,6402,6457,3
15,120.21333333333334,3.0485625027762375,121.78,116.7,122.16,3,36.93,0.6510760324263213,37.26,36.18,37.35,3,6808,55.65069631190611,6835,6744,6845,3
16,130.62,1.1688883607941416,130.51,129.51,131.84,3,39.38333333333333,0.3619852667351735,39.49,38.98,39.68,3,6847.666666666667,39.55165398985652,6835,6816,6892,3
17,130.09,1.4857657958103676,130.74,128.39,131.14,3,38.97666666666667,0.46500896048714285,39.23,38.44,39.26,3,6735,41.58124577258358,6758,6687,6760,3
18,132.17666666666668,1.8130177421452227,131.98,130.47,134.08,3,38.73,0.5038849074937675,38.48,38.4,39.31,3,6683.666666666667,22.854612955229264,6672,6669,6710,3
19,103.15666666666667,4.564058866111753,103.57,98.4,107.5,3,31.363333333333333,1.5042052164958535,31.64,29.74,32.71,3,5728.333333333333,110.50037707326312,5776,5602,5807,3
20,66.06333333333333,0.2668957349478132,66.1,65.78,66.31,3,18.856666666666666,0.337243729865114,19.01,18.47,19.09,3,3605,0.0,3605,3605,3605,3
21,66.09,2.9567042462850437,64.53,64.24,69.5,3,19.976666666666667,3.7019094172242157,17.93,17.75,24.25,3,3130,0.0,3130,3130,3130,3
22,62.973333333333336,0.3527510926040266,62.79,62.75,63.38,3,17.79,0.5031898250163657,17.53,17.47,18.37,3,2249,0.0,2249,2249,2249,3
23,61.193333333333335,0.5201281893277203,61.18,60.68,61.72,3,17.316666666666666,0.3685557397916009,17.45,16.9,17.6,3,1353,2.6457513110645907,1354,1350,1355,3
