hour,num_decisions_mean,num_decisions_standard_deviation,num_decisions_median,num_decisions_min,num_decisions_max,num_decisions_count,optimal_hits_mean,optimal_hits_standard_deviation,optimal_hits_median,optimal_hits_min,optimal_hits_max,optimal_hits_count,optimum_recovery_rate_mean,optimum_recovery_rate_standard_deviation,optimum_recovery_rate_median,optimum_recovery_rate_min,optimum_recovery_rate_max,optimum_recovery_rate_count,average_selected_energy_mean,average_selected_energy_standard_deviation,average_selected_energy_median,average_selected_energy_min,average_selected_energy_max,average_selected_energy_count,average_exact_min_energy_mean,average_exact_min_energy_standard_deviation,average_exact_min_energy_median,average_exact_min_energy_min,average_exact_min_energy_max,average_exact_min_energy_count,average_optimality_gap_mean,average_optimality_gap_standard_deviation,average_optimality_gap_median,average_optimality_gap_min,average_optimality_gap_max,average_optimality_gap_count,maximum_optimality_gap_mean,maximum_optimality_gap_standard_deviation,maximum_optimality_gap_median,maximum_optimality_gap_min,maximum_optimality_gap_max,maximum_optimality_gap_count,average_energy_reduction_mean,average_energy_reduction_standard_deviation,average_energy_reduction_median,average_energy_reduction_min,average_energy_reduction_max,average_energy_reduction_count
0,2700,0.0,2700.0,2700,2700,4,1096.5,1021.2177371484823,664.0,439,2619,4,0.4061111111111111,0.37822879153647493,0.24592592592592594,0.1625925925925926,0.97,4,-82.4946,8.987497322644163,-79.32934814814814,-95.6582925925926,-75.66141111111111,4,-99.36370925925927,2.2106836465380746,-100.29883333333333,-100.78964814814815,-96.06752222222222,4,16.869109259259258,11.176314193769587,20.969485185185185,0.40922962962962967,25.12823703703704,4,71.265,24.187089531400833,79.44,36.18000000000001,90.0,4,-16.858225925925925,11.170972023117377,-20.956637037037037,-25.113555555555557,-0.4060740740740741,4
1,2700,0.0,2700.0,2700,2700,4,1354.25,1080.077582089978,1154.0,436,2673,4,0.5015740740740741,0.4000287341073993,0.42740740740740735,0.16148148148148148,0.99,4,-86.2597,14.02702890202629,-85.52153888888888,-100.9101888888889,-73.08553333333333,4,-100.01661111111112,1.8193769041288683,-99.84772407407408,-102.0325925925926,-98.3384037037037,4,13.75691111111111,12.370127431755103,14.66395925925926,0.1608074074074074,25.538918518518518,4,63.485,30.296439284730035,69.0,24.939999999999998,91.0,4,-13.755044444444446,12.368805641822336,-14.6609,-25.53757037037037,-0.1608074074074074,4
2,2700,0.0,2700.0,2700,2700,4,959.5,1139.3405987675503,404.0,362,2668,4,0.35537037037037034,0.4219779995435371,0.14962962962962964,0.13407407407407407,0.9881481481481481,4,-78.21757222222223,17.397639654132632,-70.86687037037038,-104.16607407407409,-66.97047407407408,4,-100.12196296296295,2.93102307857082,-99.28575185185186,-104.34538518518518,-97.57096296296295,4,21.90439074074074,14.523365927699503,28.418881481481485,0.17931111111111112,30.60048888888889,4,72.0,32.16623488483952,86.0,24.0,92.0,4,-21.903046296296296,14.522504172291846,-28.41654074074074,-30.599792592592593,-0.17931111111111112,4
3,2700,0.0,2700.0,2700,2700,4,1738.5,904.1760521786304,2175.0,383,2221,4,0.6438888888888888,0.33488001932541867,0.8055555555555556,0.14185185185185184,0.8225925925925925,4,-92.92605462962963,16.729786493197906,-100.12900925925926,-103.48574444444445,-67.96045555555555,4,-103.39065833333333,3.243450092050031,-103.8824425925926,-106.7822777777778,-99.01547037037038,4,10.464603703703702,13.730517804899195,3.7534333333333336,3.296533333333333,31.05501481481481,4,56.03,19.018682043366375,48.06,44.0,84.0,4,-10.463896296296296,13.730016951907293,-3.752737037037037,-31.05357777777778,-3.296533333333333,4
4,2700,0.0,2700.0,2700,2700,4,2198.5,269.56446353330773,2081.0,2033,2599,4,0.8142592592592592,0.09983869019752137,0.7707407407407407,0.752962962962963,0.9625925925925926,4,-100.65550370370372,1.9270924924241613,-100.13817777777777,-103.4163,-98.92935925925927,4,-104.1023462962963,0.5759818521732489,-104.09348333333332,-104.81584444444445,-103.40657407407407,4,3.4468425925925925,1.8474608267977848,4.223733333333334,0.7082444444444445,4.631659259259259,4,45.515,5.0958381711615095,43.5,42.0,53.06,4,-3.4465814814814815,1.8475409703666537,-4.2233629629629625,-4.631659259259259,-0.7079407407407408,4
5,2700,0.0,2700.0,2700,2700,4,781,274.70104962789395,657.5,617,1192,4,0.28925925925925927,0.10174112949181258,0.24351851851851852,0.2285185185185185,0.4414814814814815,4,-84.22929537037037,5.048779264282168,-82.15469814814816,-91.74365185185185,-80.86413333333333,4,-102.83328240740741,0.5778128926997472,-102.62341296296296,-103.68074074074075,-102.40556296296297,4,18.603987037037037,4.478677929996259,20.468714814814817,11.937088888888889,21.54142962962963,4,83.44,9.35733580317247,81.85,74.0,96.06,4,-18.56175,4.466933787104614,-20.413192592592594,-21.506888888888888,-11.913725925925926,4
6,2700,0.0,2700.0,2700,2700,4,1138.5,877.8111034461419,706.5,686,2455,4,0.42166666666666663,0.3251152234985711,0.2616666666666667,0.25407407407407406,0.9092592592592592,4,-95.2142462962963,0.5193936824517899,-95.16113518518517,-95.89472222222223,-94.63999259259259,4,-110.46184074074074,9.213362418378608,-114.87987407407408,-115.43984814814813,-96.64776666666667,4,15.247594444444445,9.666688776737168,19.94247777777778,0.7530444444444445,20.35237777777778,4,81.705,33.093726998732954,93.32000000000001,33.18000000000001,106.99999999999999,4,-15.008437037037037,9.628595576835638,-19.66474074074074,-20.131637037037038,-0.5726296296296302,4
7,2700,0.0,2700.0,2700,2700,4,1547.25,558.1722404419625,1825.0,710,1829,4,0.5730555555555555,0.2067304594229491,0.6759259259259259,0.26296296296296295,0.6774074074074075,4,-129.1928638888889,6.726359177107918,-132.10163888888889,-133.41594444444445,-119.15223333333333,4,-137.74401388888887,2.284155094666685,-136.93383518518516,-141.0415148148148,-136.06687037037037,4,8.55115,8.892788388857234,4.169170370370371,3.9769777777777784,21.88928148148148,4,74.585,27.206667687658243,68.78999999999999,48.17999999999998,112.58,4,-7.939722222222223,8.415957145590463,-3.7931925925925936,-20.56237037037037,-3.610133333333334,4
8,2700,0.0,2700.0,2700,2700,4,1820.5,31.22498999199199,1830.5,1776,1845,4,0.6742592592592593,0.011564811108145178,0.677962962962963,0.6577777777777778,0.6833333333333333,4,-144.20455,0.9254378250305393,-143.89661296296296,-145.51112962962964,-143.51384444444446,4,-149.00451851851852,1.4200480232900274,-148.45657037037037,-151.08725555555554,-148.01767777777778,4,4.7999685185185195,0.5276409280971303,4.595044444444445,4.433659259259261,5.576125925925927,4,108.71499999999999,22.293965551242785,107.28,88.88,131.41999999999996,4,-4.12859814814815,0.4096651002156581,-4.002451851851854,-4.714711111111113,-3.794777777777779,4
9,2700,0.0,2700.0,2700,2700,4,1762.5,425.17251400656966,1812.0,1197,2229,4,0.6527777777777778,0.1574713014839147,0.6711111111111111,0.44333333333333336,0.8255555555555556,4,-132.4182648148148,3.1876564799145934,-132.4412074074074,-135.4034111111111,-129.3872333333333,4,-138.46665370370368,4.4511411955467235,-139.59487037037036,-142.53467777777777,-132.1421962962963,4,6.048388888888889,4.851151716784299,4.428366666666667,2.1893777777777776,13.147444444444444,4,95.63499999999996,29.86888849622631,82.48999999999995,77.63999999999999,139.92,4,-5.25972962962963,4.342678214237119,-3.9928074074074082,-11.5328,-1.5205037037037046,4
