hour,hour_label,departures_mean,departures_standard_deviation,departures_min,departures_max,departures_count,throughput_mean,throughput_standard_deviation,throughput_min,throughput_max,throughput_count,unfinished_mean,unfinished_standard_deviation,unfinished_min,unfinished_max,unfinished_count,average_travel_time_mean,average_travel_time_standard_deviation,average_travel_time_min,average_travel_time_max,average_travel_time_count,average_waiting_time_mean,average_waiting_time_standard_deviation,average_waiting_time_min,average_waiting_time_max,average_waiting_time_count
0,12AM - 1AM,912,0.0,912,912,3,912,0.0,912,912,3,0,0.0,0,0,3,52.36,0.0,52.36,52.36,3,22.34,0.0,22.34,22.34,3
1,1AM - 2AM,616,0.0,616,616,3,616,0.0,616,616,3,0,0.0,0,0,3,55.5,0.0,55.5,55.5,3,24.21,0.0,24.21,24.21,3
2,2AM - 3AM,480,0.0,480,480,3,480,0.0,480,480,3,0,0.0,0,0,3,55.28,0.0,55.28,55.28,3,24.55,0.0,24.55,24.55,3
3,3AM - 4AM,376,0.0,376,376,3,376,0.0,376,376,3,0,0.0,0,0,3,56.9,0.0,56.9,56.9,3,25.61,0.0,25.61,25.61,3
4,4AM - 5AM,552,0.0,552,552,3,552,0.0,552,552,3,0,0.0,0,0,3,54.18,0.0,54.18,54.18,3,23.58,0.0,23.58,23.58,3
5,5AM - 6AM,1312,0.0,1312,1312,3,1312,0.0,1312,1312,3,0,0.0,0,0,3,56.35,0.0,56.35,56.35,3,25.16,0.0,25.16,25.16,3
6,6AM - 7AM,2888,0.0,2888,2888,3,2888,0.0,2888,2888,3,0,0.0,0,0,3,51.31,0.0,51.31,51.31,3,20.15,0.0,20.15,20.15,3
7,7AM - 8AM,4736,0.0,4736,4736,3,4736,0.0,4736,4736,3,0,0.0,0,0,3,48.9,0.0,48.9,48.9,3,16.46,0.0,16.46,16.46,3
8,8AM - 9AM,5256,0.0,5256,5256,3,5256,0.0,5256,5256,3,0,0.0,0,0,3,50.21,0.0,50.21,50.21,3,17.1,0.0,17.1,17.1,3
9,9AM - 10AM,4768,0.0,4768,4768,3,4768,0.0,4768,4768,3,0,0.0,0,0,3,49.45,0.0,49.45,49.45,3,16.81,0.0,16.81,16.81,3
10,10AM - 11AM,4488,0.0,4488,4488,3,4488,0.0,4488,4488,3,0,0.0,0,0,3,48.84,0.0,48.84,48.84,3,16.61,0.0,16.61,16.61,3
11,11AM - 12PM,4784,0.0,4784,4784,3,4784,0.0,4784,4784,3,0,0.0,0,0,3,48.94,0.0,48.94,48.94,3,16.44,0.0,16.44,16.44,3
12,12PM - 1PM,5080,0.0,5080,5080,3,5080,0.0,5080,5080,3,0,0.0,0,0,3,50.06,0.0,50.06,50.06,3,16.92,0.0,16.92,16.92,3
13,1PM - 2PM,5160,0.0,5160,5160,3,5160,0.0,5160,5160,3,0,0.0,0,0,3,49.16,0.0,49.16,49.16,3,16.49,0.0,16.49,16.49,3
14,2PM - 3PM,5464,0.0,5464,5464,3,5464,0.0,5464,5464,3,0,0.0,0,0,3,50.68,0.0,50.68,50.68,3,17.41,0.0,17.41,17.41,3
15,3PM - 4PM,5984,0.0,5984,5984,3,5984,0.0,5984,5984,3,0,0.0,0,0,3,52.35,0.0,52.35,52.35,3,18.28,0.0,18.28,18.28,3
16,4PM - 5PM,6421,0.0,6421,6421,3,6421,0.0,6421,6421,3,0,0.0,0,0,3,56.97,0.0,56.97,56.97,3,21.04,0.0,21.04,21.04,3
17,5PM - 6PM,6509,0.0,6509,6509,3,6509,0.0,6509,6509,3,0,0.0,0,0,3,68.7,0.0,68.7,68.7,3,28.53,0.0,28.53,28.53,3
18,6PM - 7PM,5550,0.0,5550,5550,3,5550,0.0,5550,5550,3,0,0.0,0,0,3,52.27,0.0,52.27,52.27,3,18.29,0.0,18.29,18.29,3
19,7PM - 8PM,4104,0.0,4104,4104,3,4104,0.0,4104,4104,3,0,0.0,0,0,3,48.42,0.0,48.42,48.42,3,16.61,0.0,16.61,16.61,3
20,8PM - 9PM,3336,0.0,3336,3336,3,3336,0.0,3336,3336,3,0,0.0,0,0,3,50.23,0.0,50.23,50.23,3,18.74,0.0,18.74,18.74,3
21,9PM - 10PM,2888,0.0,2888,2888,3,2888,0.0,2888,2888,3,0,0.0,0,0,3,52.33,0.0,52.33,52.33,3,21.03,0.0,21.03,21.03,3
22,10PM - 11PM,2112,0.0,2112,2112,3,2112,0.0,2112,2112,3,0,0.0,0,0,3,55.19,0.0,55.19,55.19,3,24.04,0.0,24.04,24.04,3
23,11PM - 12AM,1344,0.0,1344,1344,3,1344,0.0,1344,1344,3,0,0.0,0,0,3,54.94,0.0,54.94,54.94,3,24.03,0.0,24.03,24.03,3
