hour,hour_label,departures_mean,departures_standard_deviation,departures_min,departures_max,departures_count,throughput_mean,throughput_standard_deviation,throughput_min,throughput_max,throughput_count,unfinished_mean,unfinished_standard_deviation,unfinished_min,unfinished_max,unfinished_count,average_travel_time_mean,average_travel_time_standard_deviation,average_travel_time_min,average_travel_time_max,average_travel_time_count,average_waiting_time_mean,average_waiting_time_standard_deviation,average_waiting_time_min,average_waiting_time_max,average_waiting_time_count
0,12AM - 1AM,912,0.0,912,912,20,912,0.0,912,912,20,0,0.0,0,0,20,51.4145,1.0806356560157682,50.21,54.16,20,23.331,0.8097621483140005,22.28,25.37,20
1,1AM - 2AM,616,0.0,616,616,20,616,0.0,616,616,20,0,0.0,0,0,20,53.278999999999996,1.206307545668534,50.45,56.26,20,24.4705,1.0553945383499708,21.95,26.96,20
2,2AM - 3AM,480,0.0,480,480,20,480,0.0,480,480,20,0,0.0,0,0,20,52.381,1.5951568145978292,48.64,55.51,20,24.123,1.2552294820595873,21.63,26.69,20
3,3AM - 4AM,376,0.0,376,376,20,376,0.0,376,376,20,0,0.0,0,0,20,52.168,1.7512419653070876,48.94,56.22,20,23.5355,1.4876667531477106,20.66,27.04,20
4,4AM - 5AM,552,0.0,552,552,20,552,0.0,552,552,20,0,0.0,0,0,20,52.9135,1.2535225104522563,49.18,54.99,20,24.4495,0.9090855729508462,21.71,25.92,20
5,5AM - 6AM,1312,0.0,1312,1312,20,1312,0.0,1312,1312,20,0,0.0,0,0,20,52.3595,0.5708301895162491,51.2,53.62,20,23.7195,0.4323555432621097,22.9,24.78,20
6,6AM - 7AM,2888,0.0,2888,2888,20,2888,0.0,2888,2888,20,0,0.0,0,0,20,46.94,0.23730948037043245,46.46,47.59,20,17.9695,0.18941669464576338,17.56,18.41,20
7,7AM - 8AM,4736,0.0,4736,4736,20,4736,0.0,4736,4736,20,0,0.0,0,0,20,45.1905,0.5298209727425803,44.75,47.23,20,14.8615,0.2038904504616969,14.57,15.43,20
8,8AM - 9AM,5202.05,108.9458943454816,4860,5256,20,5202.05,108.9458943454816,4860,5256,20,0,0.0,0,0,20,51.4375,8.613752697072037,45.53,77.2,20,16.7235,2.2848408328763186,14.69,22.62,20
9,9AM - 10AM,4755.2,75.20260353835742,4455,4863,20,4755.2,75.20260353835742,4455,4863,20,0,0.0,0,0,20,49.392,7.728007573277319,44.95,77.98,20,16.2965,1.7382788674584502,14.69,20.8,20
10,10AM - 11AM,4474,62.609903369994115,4208,4488,20,4474,62.609903369994115,4208,4488,20,0,0.0,0,0,20,46.897,6.765470458609348,44.82,75.61,20,15.4325,1.0667702115312963,14.85,19.89,20
11,11AM - 12PM,4767.05,71.87084541768402,4462,4784,20,4767.05,71.87084541768402,4462,4784,20,0,0.0,0,0,20,47.735,7.114906146512703,44.68,75.04,20,15.5135,1.5067262350435204,14.51,19.69,20
12,12PM - 1PM,5067,40.16282648891818,4903,5080,20,5067,40.16282648891818,4903,5080,20,0,0.0,0,0,20,48.7455,5.695028741667688,45.46,66.47,20,16.0805,1.8165191554468296,14.77,20.9,20
13,1PM - 2PM,5061.9,180.23227703219678,4458,5160,20,5061.9,180.23227703219678,4458,5160,20,0,0.0,0,0,20,56.5405,15.32666663900399,45.42,102.3,20,17.98,3.3698008687067613,14.69,25.62,20
14,2PM - 3PM,5406.55,132.2141305450725,5009,5547,20,5406.55,132.2141305450725,5009,5547,20,0,0.0,0,0,20,53.3055,10.131642707249817,45.6,78.99,20,17.477,2.818721434678459,14.73,24.09,20
15,3PM - 4PM,5802.85,245.29622800541432,5153,5984,20,5802.85,245.29622800541432,5153,5984,20,0,0.0,0,0,20,62.393,14.910052101995168,48.65,106.97,20,21.3345,4.37700387191248,16.42,33.22,20
16,4PM - 5PM,5914.95,371.2936807547646,4927,6424,20,5914.95,371.2936807547646,4927,6424,20,0,0.0,0,0,20,81.137,14.709464228677293,57.43,118.81,20,29.1965,3.35969496579048,21.97,34.3,20
17,5PM - 6PM,6030.6,534.376902274238,4829,6572,20,6030.6,534.376902274238,4829,6572,20,0,0.0,0,0,20,83.504,16.49234476323708,67.38,123.63,20,31.4685,1.7885844888302627,28.38,35.61,20
18,6PM - 7PM,5646.95,126.40556075376465,5308,5776,20,5646.95,126.40556075376465,5308,5776,20,0,0.0,0,0,20,59.2835,6.36506028003043,52.2,71.99,20,22.0135,2.176289152131263,19.0,25.48,20
19,7PM - 8PM,4088.45,72.93289994739577,3779,4120,20,4088.45,72.93289994739577,3779,4120,20,0,0.0,0,0,20,47.8785,9.225775833871216,44.92,86.48,20,15.9745,1.6427078895915475,15.14,22.07,20
20,8PM - 9PM,3336,0.0,3336,3336,20,3336,0.0,3336,3336,20,0,0.0,0,0,20,45.912,0.22239367654774073,45.57,46.33,20,16.63,0.1662591509155449,16.36,16.9,20
21,9PM - 10PM,2888,0.0,2888,2888,20,2888,0.0,2888,2888,20,0,0.0,0,0,20,46.8645,0.15090865135117862,46.61,47.15,20,17.912,0.12697285246523285,17.69,18.15,20
22,10PM - 11PM,2112,0.0,2112,2112,20,2112,0.0,2112,2112,20,0,0.0,0,0,20,49.828,0.4147237507952538,49.1,50.83,20,21.211,0.3393011393406968,20.56,22.03,20
23,11PM - 12AM,1344,0.0,1344,1344,20,1344,0.0,1344,1344,20,0,0.0,0,0,20,52.572,0.49636149814636615,51.69,53.83,20,23.91,0.4226233859073458,23.08,24.7,20
